New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"61,878","2,654",2.6,100.0%,,"8,454,324 ","2,654",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"31,602","1,990",3.8,51.1%,2.4%,"4,056,424 ","2,046",-3.1 ,2.4
Female,"4,428,176",474,0.0,52.0%,0.1%,"30,276","1,659",3.3,48.9%,1.7%,"4,397,900 ","1,725",3.1 ,1.7
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"1,748",467,16.2,2.8%,0.7%,"496,485 ",498,3.1 ,0.7
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"1,574",546,21.1,2.5%,0.9%,"460,621 ","4,823",2.9 ,0.9
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"1,495",467,19.0,2.4%,0.7%,"498,542 ","4,844",3.5 ,0.7
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"1,917",494,15.7,3.1%,0.8%,"456,462 ","1,032",2.3 ,0.8
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"3,316",575,10.5,5.4%,0.9%,"503,389 ","1,035",0.5,0.9
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"8,076",894,6.7,13.1%,1.3%,"701,525 ",970,-4.8 ,1.3
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"8,922",957,6.5,14.4%,1.4%,"726,384 ",985,-5.8 ,1.4
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"4,597",771,10.2,7.4%,1.2%,"618,085 ","5,622",-0.1,1.2
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"4,108",695,10.3,6.6%,1.1%,"554,910 ","5,614",0.0,1.1
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"4,002",790,12.0,6.5%,1.2%,"515,482 ",845,-0.4,1.2
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"3,788",650,10.4,6.1%,1.0%,"529,046 ",744,0.2,1.0
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"4,934",905,11.1,8.0%,1.4%,"534,485 ","5,074",-1.7 ,1.4
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"3,972",716,11.0,6.4%,1.1%,"502,542 ","5,059",-0.5,1.1
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"2,613",535,12.4,4.2%,0.8%,"430,753 ","5,763",0.9 ,0.8
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"2,841",622,13.3,4.6%,1.0%,"350,626 ","4,375",-0.4,1.0
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"1,821",411,13.7,2.9%,0.7%,"236,199 ","3,100",-0.1,0.7
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"1,212",381,19.1,2.0%,0.6%,"167,071 ","3,176",0.0,0.6
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,942,356,23.0,1.5%,0.6%,"171,717 ","3,263",0.5,0.6
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"5,947",874,8.9,9.6%,1.4%,"1,734,250 ",885,10.8 ,1.4
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"9,429",943,6.1,15.2%,1.4%,"1,356,366 ",984,0.8,1.4
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,39.2,0.9,1.4,,,-1.2 ,0.9,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"5,947",874,8.9,100.0%,,"1,734,250 ",885,0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"3,075",673,13.3,51.7%,8.4%,"886,461 ",752,-0.6,8.4
Female,"850,661",368,0.0,48.9%,0.0%,"2,872",580,12.3,48.3%,6.7%,"847,789 ",687,0.6,6.7
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"9,429",943,6.1,100.0%,,"1,356,366 ",984,0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"3,949",680,10.5,41.9%,5.9%,"570,965 ",707,0.2,5.9
Female,"790,881",213,0.0,57.9%,0.1%,"5,480",695,7.7,58.1%,4.5%,"785,401 ",727,-0.2,4.5


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"10,417","1,194",7.0,100.0%,,"2,410,122 ","1,194",0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,881,386,26.6,8.5%,3.6%,"328,387 ","9,182",5.1 ,3.6
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,"3,474",873,15.3,33.3%,7.5%,"601,752 ","10,476",-8.3 ,7.5
Cuban,"41,793","2,594",3.8,1.7%,0.1%,214,128,36.4,2.1%,1.2%,"41,579 ","2,597",-0.4,1.2
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,"1,435",531,22.5,13.8%,4.8%,"710,811 ","10,553",15.6 ,4.8
Central American,"181,910","7,173",2.4,7.5%,0.3%,545,267,29.8,5.2%,2.5%,"181,365 ","7,178",2.3,2.5
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,16,36,136.8,0.2%,0.3%,"6,616 ","1,045",0.1,0.3
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,62,63,62.2,0.6%,0.6%,"44,470 ","3,443",1.2 ,0.6
Honduran,"48,367","3,524",4.4,2.0%,0.1%,38,49,78.4,0.4%,0.5%,"48,329 ","3,524",1.6 ,0.5
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,23,39,102.1,0.2%,0.4%,"10,737 ","1,824",0.2,0.4
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,95,131,83.6,0.9%,1.2%,"21,975 ","2,267",0.0,1.2
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,311,211,41.2,3.0%,2.0%,"48,558 ","4,316",-1.0,2.0
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,"2,204",651,17.9,21.2%,5.8%,"403,943 ","9,598",-4.4,5.8
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,246,174,43.0,2.4%,1.6%,"16,179 ","1,560",-1.7 ,1.6
Bolivian,"4,058",824,12.3,0.2%,0.0%,0,,,,,,,0.2,0.0
Chilean,"8,691","1,139",8.0,0.4%,0.0%,32,50,95.0,0.3%,0.5%,"8,659 ","1,140",0.1,0.5
Colombian,"111,194","4,185",2.3,4.6%,0.2%,892,487,33.2,8.6%,4.6%,"110,302 ","4,213",-4.0,4.6
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,774,326,25.6,7.4%,3.0%,"196,641 ","7,986",0.8,3.0
Paraguayan,"3,527",937,16.1,0.1%,0.0%,113,109,58.8,1.1%,1.0%,"3,414 ",943,-1.0,1.0
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,61,75,74.4,0.6%,0.7%,"40,377 ","2,854",1.1 ,0.7
Uruguayan,"3,088",650,12.8,0.1%,0.0%,0,,,,,,,0.1,0.0
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,86,80,56.5,0.8%,0.8%,"18,413 ","2,026",0.0,0.8
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,"1,664",532,19.4,16.0%,4.8%,"142,285 ","5,684",-10.1 ,4.8
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,515,281,33.2,4.9%,2.6%,"28,689 ","2,628",-3.7 ,2.6
Spanish,"15,999","1,957",7.4,0.7%,0.1%,309,214,42.0,3.0%,2.0%,"15,690 ","1,969",-2.3 ,2.0
Spanish American,642,265,25.1,0.0%,0.0%,0,,,,,,,0.0,0.0
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,840,393,28.4,8.1%,3.7%,"97,264 ","4,349",-4.0 ,3.7


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"35,763","1,491",2.5,100.0%,,"3,277,553 ","6,140",0.0,0.0
Family households (families),"1,928,865","9,723",0.3,58.2%,0.3%,"10,741",933,5.3,30.0%,2.3%,"1,918,124 ","9,768",28.2 ,2.3
With own children under 18 years,"764,350","7,647",0.6,23.1%,0.2%,"3,412",648,11.5,9.5%,1.8%,"760,938 ","7,674",13.6 ,1.8
Married-couple family,"1,181,568","8,786",0.5,35.7%,0.3%,"7,893",865,6.7,22.1%,2.2%,"1,173,675 ","8,828",13.6 ,2.2
With own children under 18 years,"475,842","6,019",0.8,14.4%,0.2%,"2,108",526,15.2,5.9%,1.4%,"473,734 ","6,042",8.5 ,1.4
"Male householder, no spouse present, family","187,202","3,793",1.2,5.6%,0.1%,640,312,29.6,1.8%,0.9%,"186,562 ","3,806",3.8 ,0.9
With own children under 18 years,"56,524","2,408",2.6,1.7%,0.1%,271,209,46.9,0.8%,0.6%,"56,253 ","2,417",0.9 ,0.6
"Female householder, no spouse present, family","560,095","5,913",0.6,16.9%,0.2%,"2,208",444,12.2,6.2%,1.2%,"557,887 ","5,930",10.7 ,1.2
With own children under 18 years,"231,984","4,055",1.1,7.0%,0.1%,"1,033",316,18.6,2.9%,0.9%,"230,951 ","4,067",4.1 ,0.9
Nonfamily households,"1,384,451","8,816",0.4,41.8%,0.3%,"25,022","1,483",3.6,70.0%,2.9%,"1,359,429 ","8,940",-28.2 ,2.9
Householder living alone,"1,105,579","8,546",0.5,33.4%,0.3%,"20,794","1,473",4.3,58.1%,3.3%,"1,084,785 ","8,672",-24.7 ,3.3
65 years and over,"402,938","4,766",0.7,12.2%,0.1%,"4,347",645,9.0,12.2%,1.7%,"398,591 ","4,809",0.0,1.7
,,,,,,,,,,,
Households with one or more people under 18 years,"886,906","7,789",0.5,26.8%,0.2%,"3,657",591,9.8,10.2%,1.6%,"883,249 ","7,811",16.6 ,1.6
Households with one or more people 65 years and over,"1,031,541","4,324",0.3,31.1%,0.1%,"7,444",774,6.3,20.8%,2.0%,"1,024,097 ","4,393",10.3 ,2.0
,,,,,,,,,,,
Average household size ,2.51,0.01,0.2,,,1.67,0.10,3.7,,,0.84 ,0.10,,
Average family size ,3.27,0.01,0.2,,,2.67,0.35,7.9,,,0.60 ,0.35,,
,,,,,,,,,,,


Employment Status
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Population 16 years and over,"6,960,966","2,408",0.0,100.0%,,"56,623","2,448",2.6,100.0%,,"6,904,343 ","3,434",0.0,0.0
In labor force,"4,412,075","10,974",0.2,63.4%,0.2%,"42,038","2,255",3.3,74.2%,2.4%,"4,370,037 ","11,203",-10.8 ,2.4
Civilian labor force,"4,408,428","10,977",0.2,63.3%,0.2%,"42,023","2,254",3.3,74.2%,2.4%,"4,366,405 ","11,206",-10.9 ,2.4
Employed,"4,070,496","12,696",0.2,58.5%,0.2%,"39,668","2,257",3.5,70.1%,2.6%,"4,030,828 ","12,895",-11.6 ,2.6
Unemployed,"337,932","6,401",1.2,4.9%,0.1%,"2,355",524,13.5,4.2%,0.9%,"335,577 ","6,422",0.7,0.9
Armed Forces,"3,647",577,9.6,0.1%,0.1%,15,23,93.2,0.0%,0.0%,"3,632 ",577,0.1,0.1
Not in labor force,"2,548,891","11,162",0.3,36.6%,0.2%,"14,585","1,282",5.3,25.8%,2.0%,"2,534,306 ","11,235",10.8 ,2.0
,,,,,,,,,,,
Civilian labor force,"4,408,428","10,977",0.2,100.0%,,"42,023","2,254",3.3,100.0%,,"4,366,405 ","11,206",0.0,0.0
Unemployed (percent equivalent to unemployment rate),"337,932","6,401",1.2,7.7%,0.1%,"2,355",524,13.5,5.6%,1.2%,"335,577 ","6,422",2.1 ,1.2
,,,,,,,,,,,
Females 16 years and over,"3,668,464","1,624",0.0,100.0%,,"27,701","1,497",3.3,100.0%,,"3,640,763 ","2,209",0.0,0.0
In labor force,"2,175,500","6,986",0.2,59.3%,0.2%,"19,208","1,333",4.2,69.3%,3.0%,"2,156,292 ","7,112",-10.0 ,3.0
Civilian labor force,"2,174,950","6,996",0.2,59.3%,0.2%,"19,193","1,333",4.2,69.3%,3.0%,"2,155,757 ","7,122",-10.0 ,3.0
Employed,"2,016,577","8,179",0.2,55.0%,0.2%,"18,175","1,319",4.4,65.6%,3.2%,"1,998,402 ","8,285",-10.6 ,3.2
,,,,,,,,,,,
Own children under 6 years,"564,614","3,422",0.4,100.0%,,"1,990",516,15.8,100.0%,,"562,624 ","3,461",0.0,0.0
All parents in family in labor force,"376,161","4,881",0.8,66.6%,0.7%,"1,257",353,17.1,63.2%,6.8%,"374,904 ","4,894",3.4,6.8
,,,,,,,,,,,
Own children 6 to 17 years,"1,087,217","4,038",0.2,100.0%,,"3,782",735,11.8,100.0%,,"1,083,435 ","4,104",0.0,0.0
All parents in family in labor force,"747,622","6,961",0.6,68.8%,0.5%,"2,797",640,13.9,74.0%,8.9%,"744,825 ","6,990",-5.2,8.9


Income and Benefits 
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Chelsea-Hudson Yards (MN0401),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
