New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Harlem (North) (MN1102),East Harlem (North) (MN1102),East Harlem (North) (MN1102),East Harlem (North) (MN1102),East Harlem (North) (MN1102),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"63,526","2,866",2.7,100.0%,,"8,452,676 ","2,866",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"29,728","1,890",3.9,46.8%,2.1%,"4,058,298 ","1,949",1.2,2.1
Female,"4,428,176",474,0.0,52.0%,0.1%,"33,798","1,987",3.6,53.2%,2.0%,"4,394,378 ","2,043",-1.2,2.0
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"3,484",798,13.9,5.5%,1.2%,"494,749 ",816,0.4,1.2
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"3,590",637,10.8,5.7%,1.0%,"458,605 ","4,834",-0.3,1.0
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"4,139",652,9.6,6.5%,1.0%,"495,898 ","4,865",-0.6,1.0
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"3,124",566,11.0,4.9%,0.9%,"455,255 ","1,068",0.5,0.9
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"4,180",656,9.5,6.6%,1.0%,"502,525 ","1,082",-0.7,1.0
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"5,610",806,8.7,8.8%,1.2%,"703,991 ",889,-0.5,1.2
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"5,991",906,9.2,9.4%,1.4%,"729,315 ",935,-0.8,1.4
