New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"58,607","3,205",3.3,100.0%,,"8,457,595 ","3,205",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"24,994","1,698",4.1,42.6%,1.7%,"4,063,032 ","1,763",5.4 ,1.7
Female,"4,428,176",474,0.0,52.0%,0.1%,"33,613","2,438",4.4,57.4%,2.7%,"4,394,563 ","2,484",-5.4 ,2.7
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"3,289",625,11.6,5.6%,1.0%,"494,944 ",648,0.3,1.0
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"2,425",533,13.4,4.1%,0.9%,"459,770 ","4,822",1.3 ,0.9
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"3,203",785,14.9,5.5%,1.3%,"496,834 ","4,884",0.4,1.3
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"3,078",588,11.6,5.3%,1.0%,"455,301 ","1,080",0.1,1.0
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"4,026",604,9.1,6.9%,1.0%,"502,679 ","1,051",-1.0,1.0
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"5,032",681,8.2,8.6%,1.1%,"704,569 ",778,-0.3,1.1
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"5,285",841,9.7,9.0%,1.3%,"730,021 ",873,-0.4,1.3
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"5,319","1,068",12.2,9.1%,1.8%,"617,363 ","5,670",-1.8,1.8
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"2,967",544,11.1,5.1%,0.9%,"556,051 ","5,597",1.5 ,0.9
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"3,260",535,10.0,5.6%,0.9%,"516,224 ",614,0.5,0.9
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"3,326",660,12.1,5.7%,1.1%,"529,508 ",753,0.6,1.1
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"3,463",655,11.5,5.9%,1.1%,"535,956 ","5,036",0.4,1.1
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"3,557",556,9.5,6.1%,0.9%,"502,957 ","5,039",-0.2,0.9
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"3,956","1,180",18.1,6.8%,2.0%,"429,410 ","5,858",-1.7,2.0
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"2,270",578,15.5,3.9%,1.0%,"351,197 ","4,369",0.3,1.0
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"1,942",410,12.8,3.3%,0.7%,"236,078 ","3,100",-0.5,0.7
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"1,033",315,18.6,1.8%,0.5%,"167,250 ","3,169",0.2,0.5
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,"1,176",324,16.8,2.0%,0.5%,"171,483 ","3,260",0.0,0.5
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"10,561","1,326",7.6,18.0%,2.0%,"1,729,636 ","1,333",2.4 ,2.0
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"10,377","1,389",8.1,17.7%,2.2%,"1,355,418 ","1,417",-1.7,2.2
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,37.8,0.8,1.2,,,0.2,0.8,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"10,561","1,326",7.6,100.0%,,"1,729,636 ","1,333",0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"4,715",797,10.3,44.6%,5.1%,"884,821 ",865,6.5 ,5.1
Female,"850,661",368,0.0,48.9%,0.0%,"5,846",988,10.3,55.4%,6.3%,"844,815 ","1,054",-6.5 ,6.3
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"10,377","1,389",8.1,100.0%,,"1,355,418 ","1,417",0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"3,385",591,10.6,32.6%,3.7%,"571,529 ",622,9.5 ,3.7
Female,"790,881",213,0.0,57.9%,0.1%,"6,992","1,261",11.0,67.4%,8.2%,"783,889 ","1,279",-9.5 ,8.2


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"23,322","2,146",5.6,100.0%,,"2,397,217 ","2,146",0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,"2,979",988,20.2,12.8%,4.1%,"326,289 ","9,227",0.8,4.1
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,"10,239","1,507",8.9,43.9%,5.0%,"594,987 ","10,548",-18.9 ,5.0
Cuban,"41,793","2,594",3.8,1.7%,0.1%,443,286,39.2,1.9%,1.2%,"41,350 ","2,610",-0.2,1.2
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,"5,708","1,347",14.3,24.5%,5.3%,"706,538 ","10,626",4.9,5.3
