New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"41,969","2,939",4.3,100.0%,,"8,474,233 ","2,939",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"19,314","1,542",4.9,46.0%,1.8%,"4,068,712 ","1,613",2.0 ,1.8
Female,"4,428,176",474,0.0,52.0%,0.1%,"22,655","2,025",5.4,54.0%,3.0%,"4,405,521 ","2,080",-2.0,3.0
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"1,702",574,20.5,4.1%,1.3%,"496,531 ",599,1.8 ,1.3
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"1,077",435,24.6,2.6%,1.0%,"461,118 ","4,812",2.8 ,1.0
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"1,058",377,21.7,2.5%,0.9%,"498,979 ","4,836",3.4 ,0.9
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,787,241,18.7,1.9%,0.6%,"457,592 ",938,3.5 ,0.6
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"1,636",453,16.8,3.9%,1.0%,"505,069 ",972,2.0 ,1.0
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"4,487",842,11.4,10.7%,1.9%,"705,114 ",922,-2.4 ,1.9
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"4,259",693,9.9,10.1%,1.5%,"731,047 ",731,-1.5,1.5
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"3,529",764,13.2,8.4%,1.7%,"619,153 ","5,621",-1.1,1.7
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"2,231",462,12.6,5.3%,1.0%,"556,787 ","5,590",1.3 ,1.0
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"1,705",369,13.2,4.1%,0.8%,"517,779 ",476,2.0 ,0.8
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"2,740",601,13.3,6.5%,1.4%,"530,094 ",702,-0.2,1.4
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"2,051",435,12.9,4.9%,1.0%,"537,368 ","5,012",1.4 ,1.0
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"2,912","1,070",22.3,6.9%,2.5%,"503,602 ","5,121",-1.0,2.5
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"2,293",474,12.6,5.5%,1.1%,"431,073 ","5,758",-0.4,1.1
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"2,883",776,16.4,6.9%,1.8%,"350,584 ","4,400",-2.7 ,1.8
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"2,669",679,15.5,6.4%,1.6%,"235,351 ","3,147",-3.6 ,1.6
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"1,849",459,15.1,4.4%,1.0%,"166,434 ","3,186",-2.4 ,1.0
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,"2,101",843,24.4,5.0%,2.0%,"170,558 ","3,352",-3.0 ,2.0
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"4,279",904,12.8,10.2%,2.0%,"1,735,918 ",915,10.2 ,2.0
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"11,795","1,739",9.0,28.1%,3.6%,"1,354,000 ","1,761",-12.1 ,3.6
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,45.6,1.9,2.5,,,-7.6 ,1.9,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"4,279",904,12.8,100.0%,,"1,735,918 ",915,0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"2,147",510,14.5,50.2%,5.5%,"887,389 ",611,0.9,5.5
Female,"850,661",368,0.0,48.9%,0.0%,"2,132",621,17.7,49.8%,10.0%,"848,529 ",722,-0.9,10.0
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"11,795","1,739",9.0,100.0%,,"1,354,000 ","1,761",0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"4,867",786,9.8,41.3%,2.7%,"570,047 ",810,0.8,2.7
Female,"790,881",213,0.0,57.9%,0.1%,"6,928","1,303",11.4,58.7%,6.9%,"783,953 ","1,320",-0.8,6.9


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"3,229","1,007",19.0,100.0%,,"2,417,310 ","1,007",0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,420,222,32.1,13.0%,5.5%,"328,848 ","9,177",0.6,5.5
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,463,284,37.3,14.3%,7.6%,"604,763 ","10,444",10.7 ,7.6
Cuban,"41,793","2,594",3.8,1.7%,0.1%,403,300,45.2,12.5%,8.4%,"41,390 ","2,611",-10.8 ,8.4
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,435,353,49.3,13.5%,10.1%,"711,811 ","10,546",15.9 ,10.1
Central American,"181,910","7,173",2.4,7.5%,0.3%,244,244,60.8,7.6%,7.2%,"181,666 ","7,177",-0.1,7.2
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,0,,,,,,,0.3,0.0
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,42,56,81.6,1.3%,1.7%,"44,490 ","3,442",0.5,1.7
Honduran,"48,367","3,524",4.4,2.0%,0.1%,49,59,73.2,1.5%,1.8%,"48,318 ","3,524",0.5,1.8
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,112,226,122.8,3.5%,6.9%,"10,648 ","1,838",-3.1,6.9
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,11,16,88.4,0.3%,0.5%,"22,059 ","2,263",0.6 ,0.5
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,30,43,86.3,0.9%,1.3%,"48,839 ","4,311",1.1,1.3
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,764,559,44.5,23.7%,15.7%,"405,383 ","9,592",-6.9,15.7
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,177,181,62.3,5.5%,5.4%,"16,248 ","1,561",-4.8,5.4
Bolivian,"4,058",824,12.3,0.2%,0.0%,0,,,,,,,0.2,0.0
Chilean,"8,691","1,139",8.0,0.4%,0.0%,28,46,99.9,0.9%,1.4%,"8,663 ","1,140",-0.5,1.4
Colombian,"111,194","4,185",2.3,4.6%,0.2%,23,37,97.8,0.7%,1.1%,"111,171 ","4,185",3.9 ,1.1
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,61,55,54.6,1.9%,1.6%,"197,354 ","7,979",6.3 ,1.6
Paraguayan,"3,527",937,16.1,0.1%,0.0%,36,62,104.7,1.1%,1.9%,"3,491 ",939,-1.0,1.9
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,313,502,97.5,9.7%,15.3%,"40,125 ","2,897",-8.0,15.3
Uruguayan,"3,088",650,12.8,0.1%,0.0%,95,125,80.0,2.9%,3.8%,"2,993 ",662,-2.8,3.8
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,31,50,98.0,1.0%,1.5%,"18,468 ","2,025",-0.2,1.5
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,500,284,34.6,15.5%,7.4%,"143,449 ","5,666",-9.6 ,7.4
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,73,70,58.1,2.3%,2.0%,"29,131 ","2,614",-1.1,2.0
Spanish,"15,999","1,957",7.4,0.7%,0.1%,258,237,55.8,8.0%,6.9%,"15,741 ","1,971",-7.3 ,6.9
Spanish American,642,265,25.1,0.0%,0.0%,0,,,,,,,0.0,0.0
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,169,161,57.7,5.2%,4.7%,"97,935 ","4,334",-1.1,4.7


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"23,244","1,354",3.5,100.0%,,"3,290,072 ","6,108",0.0,0.0
Family households (families),"1,928,865","9,723",0.3,58.2%,0.3%,"9,390","1,078",7.0,40.4%,4.0%,"1,919,475 ","9,783",17.8 ,4.0
With own children under 18 years,"764,350","7,647",0.6,23.1%,0.2%,"2,712",639,14.3,11.7%,2.7%,"761,638 ","7,674",11.4 ,2.7
Married-couple family,"1,181,568","8,786",0.5,35.7%,0.3%,"8,209","1,006",7.5,35.3%,3.8%,"1,173,359 ","8,843",0.4,3.8
With own children under 18 years,"475,842","6,019",0.8,14.4%,0.2%,"2,392",617,15.7,10.3%,2.6%,"473,450 ","6,051",4.1 ,2.6
"Male householder, no spouse present, family","187,202","3,793",1.2,5.6%,0.1%,249,203,49.4,1.1%,0.9%,"186,953 ","3,798",4.5 ,0.9
With own children under 18 years,"56,524","2,408",2.6,1.7%,0.1%,60,80,81.2,0.3%,0.3%,"56,464 ","2,409",1.4 ,0.3
"Female householder, no spouse present, family","560,095","5,913",0.6,16.9%,0.2%,932,403,26.3,4.0%,1.7%,"559,163 ","5,927",12.9 ,1.7
With own children under 18 years,"231,984","4,055",1.1,7.0%,0.1%,260,149,34.8,1.1%,0.6%,"231,724 ","4,058",5.9 ,0.6
Nonfamily households,"1,384,451","8,816",0.4,41.8%,0.3%,"13,854","1,083",4.8,59.6%,3.1%,"1,370,597 ","8,882",-17.8 ,3.1
Householder living alone,"1,105,579","8,546",0.5,33.4%,0.3%,"11,580","1,074",5.6,49.8%,3.6%,"1,093,999 ","8,613",-16.4 ,3.6
65 years and over,"402,938","4,766",0.7,12.2%,0.1%,"4,329",727,10.2,18.6%,2.9%,"398,609 ","4,821",-6.4 ,2.9
,,,,,,,,,,,
Households with one or more people under 18 years,"886,906","7,789",0.5,26.8%,0.2%,"2,773",624,13.7,11.9%,2.6%,"884,133 ","7,814",14.9 ,2.6
Households with one or more people 65 years and over,"1,031,541","4,324",0.3,31.1%,0.1%,"8,291",985,7.2,35.7%,3.7%,"1,023,250 ","4,435",-4.6 ,3.7
,,,,,,,,,,,
Average household size ,2.51,0.01,0.2,,,1.78,0.16,5.6,,,0.73 ,0.16,,
Average family size ,3.27,0.01,0.2,,,2.57,0.42,10.1,,,0.70 ,0.42,,
,,,,,,,,,,,


Employment Status
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),East Midtown-Turtle Bay (MN0604),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Population 16 years and over,"6,960,966","2,408",0.0,100.0%,,"37,976","2,583",4.1,100.0%,,"6,922,990 ","3,531",0.0,0.0
In labor force,"4,412,075","10,974",0.2,63.4%,0.2%,"26,897","2,017",4.6,70.8%,2.2%,"4,385,178 ","11,158",-7.4 ,2.2
Civilian labor force,"4,408,428","10,977",0.2,63.3%,0.2%,"26,896","2,017",4.6,70.8%,2.2%,"4,381,532 ","11,161",-7.5 ,2.2
Employed,"4,070,496","12,696",0.2,58.5%,0.2%,"25,303","1,975",4.7,66.6%,2.5%,"4,045,193 ","12,849",-8.1 ,2.5
Unemployed,"337,932","6,401",1.2,4.9%,0.1%,"1,593",397,15.1,4.2%,1.0%,"336,339 ","6,413",0.7,1.0
Armed Forces,"3,647",577,9.6,0.1%,0.1%,1,3,182.4,0.0%,0.0%,"3,646 ",577,0.1,0.1
Not in labor force,"2,548,891","11,162",0.3,36.6%,0.2%,"11,079","1,507",8.3,29.2%,3.4%,"2,537,812 ","11,263",7.4 ,3.4
,,,,,,,,,,,
Civilian labor force,"4,408,428","10,977",0.2,100.0%,,"26,896","2,017",4.6,100.0%,,"4,381,532 ","11,161",0.0,0.0
Unemployed (percent equivalent to unemployment rate),"337,932","6,401",1.2,7.7%,0.1%,"1,593",397,15.1,5.9%,1.4%,"336,339 ","6,413",1.8 ,1.4
,,,,,,,,,,,
Females 16 years and over,"3,668,464","1,624",0.0,100.0%,,"20,672","1,795",5.3,100.0%,,"3,647,792 ","2,421",0.0,0.0
In labor force,"2,175,500","6,986",0.2,59.3%,0.2%,"13,299","1,276",5.8,64.3%,2.6%,"2,162,201 ","7,102",-5.0 ,2.6
Civilian labor force,"2,174,950","6,996",0.2,59.3%,0.2%,"13,299","1,276",5.8,64.3%,2.6%,"2,161,651 ","7,111",-5.0 ,2.6
Employed,"2,016,577","8,179",0.2,55.0%,0.2%,"12,486","1,256",6.1,60.4%,3.1%,"2,004,091 ","8,275",-5.4 ,3.1
,,,,,,,,,,,
Own children under 6 years,"564,614","3,422",0.4,100.0%,,"1,898",582,18.6,100.0%,,"562,716 ","3,471",0.0,0.0
All parents in family in labor force,"376,161","4,881",0.8,66.6%,0.7%,"1,583",560,21.5,83.4%,14.7%,"374,578 ","4,913",-16.8 ,14.7
,,,,,,,,,,,
Own children 6 to 17 years,"1,087,217","4,038",0.2,100.0%,,"2,298",626,16.6,100.0%,,"1,084,919 ","4,086",0.0,0.0
All parents in family in labor force,"747,622","6,961",0.6,68.8%,0.5%,"1,563",507,19.7,68.0%,12.0%,"746,059 ","6,979",0.8,12.0


Income and Benefits 
