New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Village (MN0303),East Village (MN0303),East Village (MN0303),East Village (MN0303),East Village (MN0303),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"68,412","3,317",2.9,100.0%,,"8,447,790 ","3,317",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"33,605","2,114",3.8,49.1%,2.0%,"4,054,421 ","2,166",-1.1,2.0
Female,"4,428,176",474,0.0,52.0%,0.1%,"34,807","2,404",4.2,50.9%,2.5%,"4,393,369 ","2,450",1.1,2.5
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"1,968",407,12.6,2.9%,0.6%,"496,265 ",442,3.0 ,0.6
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"1,260",334,16.1,1.8%,0.5%,"460,935 ","4,804",3.6 ,0.5
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"1,559",471,18.4,2.3%,0.7%,"498,478 ","4,844",3.6 ,0.7
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"4,769",440,5.6,7.0%,0.5%,"453,610 ","1,007",-1.6 ,0.5
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"7,706",988,7.8,11.3%,1.3%,"498,999 ","1,310",-5.4 ,1.3
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"8,873","1,568",10.7,13.0%,2.2%,"700,728 ","1,612",-4.7 ,2.2
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"10,285","1,475",8.7,15.0%,2.0%,"725,021 ","1,493",-6.4 ,2.0
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"4,126",744,11.0,6.0%,1.0%,"618,556 ","5,618",1.3 ,1.0
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"3,310",636,11.7,4.8%,0.9%,"555,708 ","5,607",1.8 ,0.9
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"2,951",511,10.5,4.3%,0.7%,"516,533 ",593,1.8 ,0.7
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"3,229",645,12.1,4.7%,0.9%,"529,605 ",740,1.6 ,0.9
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"4,713","1,112",14.3,6.9%,1.6%,"534,706 ","5,115",-0.6,1.6
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"3,471",668,11.7,5.1%,0.9%,"503,043 ","5,052",0.8,0.9
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"3,209",592,11.2,4.7%,0.8%,"430,157 ","5,768",0.4,0.8
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"2,748",439,9.7,4.0%,0.6%,"350,719 ","4,353",0.2,0.6
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"1,526",389,15.5,2.2%,0.6%,"236,494 ","3,098",0.6,0.6
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"1,322",339,15.6,1.9%,0.5%,"166,961 ","3,171",0.1,0.5
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,"1,387",490,21.5,2.0%,0.7%,"171,272 ","3,281",0.0,0.7
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"5,684",751,8.0,8.3%,1.0%,"1,734,513 ",764,12.1 ,1.0
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"10,192",872,5.2,14.9%,1.1%,"1,355,603 ",916,1.1,1.1
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,33.9,0.4,0.8,,,4.1 ,0.4,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"5,684",751,8.0,100.0%,,"1,734,513 ",764,0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"3,087",532,10.5,54.3%,6.0%,"886,449 ",629,-3.2,6.0
Female,"850,661",368,0.0,48.9%,0.0%,"2,597",556,13.0,45.7%,7.7%,"848,064 ",667,3.2,7.7
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"10,192",872,5.2,100.0%,,"1,355,603 ",916,0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"4,544",666,8.9,44.6%,5.3%,"570,370 ",694,-2.5,5.3
Female,"790,881",213,0.0,57.9%,0.1%,"5,648",628,6.8,55.4%,3.9%,"785,233 ",663,2.5,3.9


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Village (MN0303),East Village (MN0303),East Village (MN0303),East Village (MN0303),East Village (MN0303),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"15,949","1,539",5.9,100.0%,,"2,404,590 ","1,539",0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,727,290,24.3,4.6%,1.8%,"328,541 ","9,179",9.0 ,1.8
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,"7,229","1,218",10.2,45.3%,6.3%,"597,997 ","10,511",-20.3 ,6.3
Cuban,"41,793","2,594",3.8,1.7%,0.1%,414,267,39.1,2.6%,1.7%,"41,379 ","2,608",-0.9,1.7
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,"3,558",944,16.1,22.3%,5.5%,"708,688 ","10,582",7.1 ,5.5
Central American,"181,910","7,173",2.4,7.5%,0.3%,333,166,30.4,2.1%,1.0%,"181,577 ","7,175",5.4 ,1.0
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,29,34,71.3,0.2%,0.2%,"6,603 ","1,045",0.1,0.2
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,108,95,53.3,0.7%,0.6%,"44,424 ","3,443",1.1 ,0.6
Honduran,"48,367","3,524",4.4,2.0%,0.1%,76,78,62.1,0.5%,0.5%,"48,291 ","3,525",1.5 ,0.5
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,43,57,80.9,0.3%,0.4%,"10,717 ","1,825",0.1,0.4
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,0,,,,,,,0.9,0.1
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,77,92,72.3,0.5%,0.6%,"48,792 ","4,312",1.5 ,0.6
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,"1,728",519,18.3,10.8%,3.1%,"404,419 ","9,590",6.0 ,3.1
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,75,104,84.3,0.5%,0.7%,"16,350 ","1,553",0.2,0.7
Bolivian,"4,058",824,12.3,0.2%,0.0%,10,17,103.3,0.1%,0.1%,"4,048 ",824,0.1,0.1
Chilean,"8,691","1,139",8.0,0.4%,0.0%,99,94,57.5,0.6%,0.6%,"8,592 ","1,143",-0.2,0.6
Colombian,"111,194","4,185",2.3,4.6%,0.2%,397,193,29.6,2.5%,1.2%,"110,797 ","4,189",2.1 ,1.2
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,549,353,39.1,3.4%,2.2%,"196,866 ","7,987",4.8 ,2.2
Paraguayan,"3,527",937,16.1,0.1%,0.0%,0,,,,,,,0.1,0.0
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,448,289,39.2,2.8%,1.8%,"39,990 ","2,868",-1.1,1.8
Uruguayan,"3,088",650,12.8,0.1%,0.0%,6,12,121.6,0.0%,0.1%,"3,082 ",650,0.1,0.1
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,144,133,56.3,0.9%,0.8%,"18,355 ","2,028",-0.1,0.8
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,"1,960",453,14.1,12.3%,2.6%,"141,989 ","5,677",-6.4 ,2.6
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,272,154,34.4,1.7%,1.0%,"28,932 ","2,618",-0.5,1.0
Spanish,"15,999","1,957",7.4,0.7%,0.1%,119,98,49.9,0.7%,0.6%,"15,880 ","1,959",0.0,0.6
Spanish American,642,265,25.1,0.0%,0.0%,0,,,,,,,0.0,0.0
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,"1,569",420,16.3,9.8%,2.5%,"96,535 ","4,351",-5.7 ,2.5


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Village (MN0303),East Village (MN0303),East Village (MN0303),East Village (MN0303),East Village (MN0303),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
