New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Financial District-Battery Park City (MN0101),Financial District-Battery Park City (MN0101),Financial District-Battery Park City (MN0101),Financial District-Battery Park City (MN0101),Financial District-Battery Park City (MN0101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"48,608","2,930",3.7,100.0%,,"8,467,594 ","2,930",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"23,249","1,682",4.4,47.8%,1.9%,"4,064,777 ","1,748",0.2,1.9
Female,"4,428,176",474,0.0,52.0%,0.1%,"25,359","2,102",5.0,52.2%,3.0%,"4,402,817 ","2,155",-0.2,3.0
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"2,118",641,18.4,4.4%,1.3%,"496,115 ",664,1.5 ,1.3
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"1,790",480,16.3,3.7%,1.0%,"460,405 ","4,816",1.7 ,1.0
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"1,682",515,18.6,3.5%,1.0%,"498,355 ","4,848",2.4 ,1.0
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"2,665",727,16.6,5.5%,1.5%,"455,714 ","1,162",-0.1,1.5
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"3,630",722,12.1,7.5%,1.4%,"503,075 ","1,123",-1.6 ,1.4
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"7,480","1,048",8.5,15.4%,1.9%,"702,121 ","1,113",-7.1 ,1.9
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"5,781",787,8.3,11.9%,1.5%,"729,525 ",821,-3.3 ,1.5
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"4,836",739,9.3,9.9%,1.4%,"617,846 ","5,618",-2.6 ,1.4
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"4,473",866,11.8,9.2%,1.7%,"554,545 ","5,638",-2.6 ,1.7
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"3,419",803,14.3,7.0%,1.6%,"516,065 ",858,-0.9,1.6
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"2,592",568,13.3,5.3%,1.1%,"530,242 ",674,1.0,1.1
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"2,265",503,13.5,4.7%,1.0%,"537,154 ","5,018",1.6 ,1.0
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"1,869",569,18.5,3.8%,1.1%,"504,645 ","5,040",2.1 ,1.1
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"1,397",337,14.7,2.9%,0.7%,"431,969 ","5,748",2.2 ,0.7
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,723,290,24.4,1.5%,0.6%,"352,744 ","4,341",2.7 ,0.6
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,451,220,29.6,0.9%,0.4%,"237,569 ","3,081",1.9 ,0.4
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,572,508,54.0,1.2%,1.0%,"167,711 ","3,194",0.8,1.0
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,865,281,19.7,1.8%,0.6%,"171,794 ","3,256",0.2,0.6
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"6,507","1,093",10.2,13.4%,2.1%,"1,733,690 ","1,102",7.0 ,2.1
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"4,008",764,11.6,8.2%,1.5%,"1,361,787 ",814,7.8 ,1.5
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,34.3,0.6,1.1,,,3.7 ,0.6,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"6,507","1,093",10.2,100.0%,,"1,733,690 ","1,102",0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"2,914",604,12.6,44.8%,5.4%,"886,622 ",691,6.3 ,5.4
Female,"850,661",368,0.0,48.9%,0.0%,"3,593",981,16.6,55.2%,11.9%,"847,068 ","1,048",-6.3,11.9
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"4,008",764,11.6,100.0%,,"1,361,787 ",814,0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"1,627",362,13.5,40.6%,4.6%,"573,287 ",411,1.5,4.6
Female,"790,881",213,0.0,57.9%,0.1%,"2,381",645,16.5,59.4%,11.4%,"788,500 ",679,-1.5,11.4


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Financial District-Battery Park City (MN0101),Financial District-Battery Park City (MN0101),Financial District-Battery Park City (MN0101),Financial District-Battery Park City (MN0101),Financial District-Battery Park City (MN0101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"3,397",771,13.8,100.0%,,"2,417,142 ",771,0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,464,256,33.6,13.7%,6.9%,"328,804 ","9,178",-0.1,6.9
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,535,281,32.0,15.7%,7.5%,"604,691 ","10,444",9.3 ,7.5
Cuban,"41,793","2,594",3.8,1.7%,0.1%,202,154,46.4,5.9%,4.3%,"41,591 ","2,599",-4.2,4.3
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,438,292,40.5,12.9%,8.1%,"711,808 ","10,544",16.5 ,8.1
Central American,"181,910","7,173",2.4,7.5%,0.3%,428,293,41.6,12.6%,8.1%,"181,482 ","7,179",-5.1,8.1
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,23,37,97.8,0.7%,1.1%,"6,609 ","1,045",-0.4,1.1
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,4,6,91.2,0.1%,0.2%,"44,528 ","3,442",1.7 ,0.2
Honduran,"48,367","3,524",4.4,2.0%,0.1%,50,72,87.5,1.5%,2.1%,"48,317 ","3,525",0.5,2.1
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,40,63,95.7,1.2%,1.8%,"10,720 ","1,825",-0.8,1.8
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,37,51,83.5,1.1%,1.5%,"22,033 ","2,264",-0.2,1.5
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,193,241,76.0,5.7%,7.0%,"48,676 ","4,318",-3.7,7.0
Other Central American,680,311,27.8,0.0%,0.0%,81,132,99.1,2.4%,3.8%,599 ,338,-2.4,3.8
South American,"406,147","9,576",1.4,16.8%,0.4%,772,365,28.7,22.7%,9.4%,"405,375 ","9,583",-5.9,9.4
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,111,125,68.2,3.3%,3.6%,"16,314 ","1,555",-2.6,3.6
Bolivian,"4,058",824,12.3,0.2%,0.0%,0,,,,,,,0.2,0.0
Chilean,"8,691","1,139",8.0,0.4%,0.0%,0,,,,,,,0.4,0.0
Colombian,"111,194","4,185",2.3,4.6%,0.2%,371,230,37.7,10.9%,6.3%,"110,823 ","4,191",-6.3,6.3
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,18,29,97.9,0.5%,0.8%,"197,397 ","7,979",7.7 ,0.9
Paraguayan,"3,527",937,16.1,0.1%,0.0%,0,,,,,,,0.1,0.0
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,160,128,48.8,4.7%,3.6%,"40,278 ","2,856",-3.0,3.6
Uruguayan,"3,088",650,12.8,0.1%,0.0%,0,,,,,,,0.1,0.0
