New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"26,523","1,746",4.0,100.0%,,"8,489,679 ","1,746",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"12,304","1,210",6.0,46.4%,3.4%,"4,075,722 ","1,300",1.6,3.4
Female,"4,428,176",474,0.0,52.0%,0.1%,"14,219","1,084",4.6,53.6%,2.1%,"4,413,957 ","1,183",-1.6,2.1
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"1,090",435,24.3,4.1%,1.6%,"497,143 ",468,1.8 ,1.6
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,506,294,35.4,1.9%,1.1%,"461,689 ","4,801",3.5 ,1.1
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,969,402,25.2,3.7%,1.5%,"499,068 ","4,838",2.2 ,1.5
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"1,824",315,10.5,6.9%,1.1%,"456,555 ",959,-1.5 ,1.1
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"3,007",628,12.7,11.3%,2.2%,"503,698 ","1,065",-5.4 ,2.2
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"3,085",574,11.3,11.6%,2.0%,"706,516 ",686,-3.3 ,2.0
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"2,683",537,12.2,10.1%,1.9%,"732,623 ",585,-1.5,1.9
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"1,911",442,14.0,7.2%,1.6%,"620,771 ","5,587",0.1,1.6
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"1,761",457,15.8,6.6%,1.7%,"557,257 ","5,590",0.0,1.7
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"1,081",240,13.5,4.1%,0.9%,"518,403 ",385,2.0 ,0.9
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"1,854",469,15.4,7.0%,1.7%,"530,980 ",592,-0.7,1.7
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"1,165",342,17.8,4.4%,1.3%,"538,254 ","5,005",1.9 ,1.3
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"1,572",520,20.1,5.9%,1.9%,"504,942 ","5,035",0.0,1.9
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"1,072",295,16.7,4.0%,1.1%,"432,294 ","5,746",1.1,1.1
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"1,249",366,17.8,4.7%,1.3%,"352,218 ","4,346",-0.5,1.3
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,555,209,22.9,2.1%,0.8%,"237,465 ","3,080",0.7,0.8
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,564,204,22.0,2.1%,0.8%,"167,719 ","3,160",-0.1,0.8
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,575,234,24.7,2.2%,0.9%,"172,084 ","3,252",-0.2,0.9
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"2,861",701,14.9,10.8%,2.5%,"1,737,336 ",715,9.6 ,2.5
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"4,015",544,8.2,15.1%,1.8%,"1,361,780 ",612,0.9,1.8
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,35.2,1.3,2.2,,,2.8 ,1.3,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"2,861",701,14.9,100.0%,,"1,737,336 ",715,0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"1,560",507,19.8,54.5%,11.6%,"887,976 ",608,-3.4,11.6
Female,"850,661",368,0.0,48.9%,0.0%,"1,301",447,20.9,45.5%,11.0%,"849,360 ",579,3.4,11.0
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"4,015",544,8.2,100.0%,,"1,361,780 ",612,0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"1,446",370,15.5,36.0%,7.8%,"573,468 ",418,6.1,7.8
Female,"790,881",213,0.0,57.9%,0.1%,"2,569",419,9.9,64.0%,5.8%,"788,312 ",470,-6.1 ,5.8


Hispanic Subgroup
