New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Greenwich Village (MN0202),Greenwich Village (MN0202),Greenwich Village (MN0202),Greenwich Village (MN0202),Greenwich Village (MN0202),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"31,517","1,766",3.4,100.0%,,"8,484,685 ","1,766",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"15,451","1,327",5.2,49.0%,3.2%,"4,072,575 ","1,409",-1.0,3.2
Female,"4,428,176",474,0.0,52.0%,0.1%,"16,066","1,032",3.9,51.0%,1.6%,"4,412,110 ","1,136",1.0,1.6
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,869,208,14.6,2.8%,0.6%,"497,364 ",270,3.1 ,0.6
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,726,188,15.7,2.3%,0.6%,"461,469 ","4,796",3.1 ,0.6
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,586,202,21.0,1.9%,0.6%,"499,451 ","4,825",4.0 ,0.6
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"3,485",295,5.1,11.1%,0.7%,"454,894 ",953,-5.7 ,0.7
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"2,816",707,15.3,8.9%,2.2%,"503,889 ","1,113",-3.0 ,2.2
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"3,738",690,11.2,11.9%,2.1%,"705,863 ",786,-3.6 ,2.1
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"3,207",491,9.3,10.2%,1.4%,"732,099 ",543,-1.6 ,1.4
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"2,188",576,16.0,6.9%,1.8%,"620,494 ","5,599",0.4,1.8
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"2,214",415,11.4,7.0%,1.3%,"556,804 ","5,586",-0.4,1.3
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"1,701",345,12.3,5.4%,1.1%,"517,783 ",458,0.7,1.1
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"1,614",393,14.8,5.1%,1.2%,"531,220 ",534,1.2,1.2
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"1,503",349,14.1,4.8%,1.1%,"537,916 ","5,005",1.5 ,1.1
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"1,271",300,14.3,4.0%,0.9%,"505,243 ","5,017",1.9 ,0.9
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"1,718",435,15.4,5.5%,1.3%,"431,648 ","5,754",-0.4,1.3
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"1,370",332,14.7,4.3%,1.0%,"352,097 ","4,344",-0.1,1.0
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"1,150",270,14.3,3.6%,0.8%,"236,870 ","3,085",-0.8,0.8
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,858,223,15.8,2.7%,0.7%,"167,425 ","3,161",-0.7,0.7
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,503,170,20.6,1.6%,0.5%,"172,156 ","3,248",0.4,0.5
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"2,516",412,9.9,8.0%,1.2%,"1,737,681 ",435,12.4 ,1.2
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"5,599",649,7.0,17.8%,1.8%,"1,360,196 ",707,-1.8,1.8
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,35.7,1.3,2.3,,,2.3 ,1.3,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"2,516",412,9.9,100.0%,,"1,737,681 ",435,0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"1,273",262,12.5,50.6%,6.3%,"888,263 ",426,0.5,6.3
Female,"850,661",368,0.0,48.9%,0.0%,"1,243",254,12.4,49.4%,6.0%,"849,418 ",447,-0.5,6.0
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"5,599",649,7.0,100.0%,,"1,360,196 ",707,0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"2,650",429,9.8,47.3%,5.3%,"572,264 ",471,-5.2,5.3
Female,"790,881",213,0.0,57.9%,0.1%,"2,949",467,9.6,52.7%,5.7%,"787,932 ",513,5.2,5.7


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Greenwich Village (MN0202),Greenwich Village (MN0202),Greenwich Village (MN0202),Greenwich Village (MN0202),Greenwich Village (MN0202),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
