New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Hamilton Heights-Sugar Hill (MN0903),Hamilton Heights-Sugar Hill (MN0903),Hamilton Heights-Sugar Hill (MN0903),Hamilton Heights-Sugar Hill (MN0903),Hamilton Heights-Sugar Hill (MN0903),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"52,530","3,141",3.6,100.0%,,"8,463,672 ","3,141",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"25,998","2,019",4.7,49.5%,2.5%,"4,062,028 ","2,074",-1.5,2.5
Female,"4,428,176",474,0.0,52.0%,0.1%,"26,532","2,076",4.8,50.5%,2.6%,"4,401,644 ","2,129",1.5,2.6
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"2,077",528,15.5,4.0%,1.0%,"496,156 ",555,1.9 ,1.0
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"2,755",678,15.0,5.2%,1.3%,"459,440 ","4,840",0.2,1.3
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"1,824",510,17.0,3.5%,0.9%,"498,213 ","4,848",2.4 ,0.9
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"1,968",484,14.9,3.7%,0.9%,"456,411 ","1,027",1.7 ,0.9
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"2,224",548,15.0,4.2%,1.0%,"504,481 ","1,020",1.7 ,1.0
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"5,591",988,10.7,10.6%,1.8%,"704,010 ","1,057",-2.3 ,1.8
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"6,336",952,9.1,12.1%,1.7%,"728,970 ",980,-3.5 ,1.7
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"5,841",954,9.9,11.1%,1.7%,"616,841 ","5,650",-3.8 ,1.7
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"3,819",686,10.9,7.3%,1.2%,"555,199 ","5,613",-0.7,1.2
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"2,979",564,11.5,5.7%,1.0%,"516,505 ",639,0.4,1.0
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"2,923",517,10.8,5.6%,0.9%,"529,911 ",631,0.7,0.9
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"3,005",537,10.9,5.7%,1.0%,"536,414 ","5,022",0.6,1.0
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"3,935",906,14.0,7.5%,1.7%,"502,579 ","5,089",-1.6,1.7
