New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Harlem (North) (MN1002),Harlem (North) (MN1002),Harlem (North) (MN1002),Harlem (North) (MN1002),Harlem (North) (MN1002),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"86,090","3,421",2.4,100.0%,,"8,430,112 ","3,421",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"40,872","2,261",3.4,47.5%,1.8%,"4,047,154 ","2,310",0.5,1.8
Female,"4,428,176",474,0.0,52.0%,0.1%,"45,218","2,168",2.9,52.5%,1.4%,"4,382,958 ","2,219",-0.5,1.4
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"5,386",840,9.5,6.3%,0.9%,"492,847 ",857,-0.4,0.9
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"3,864",924,14.5,4.5%,1.1%,"458,331 ","4,880",0.9,1.1
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"5,044",792,9.5,5.9%,0.9%,"494,993 ","4,886",0.0,0.9
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"4,459",773,10.5,5.2%,0.9%,"453,920 ","1,191",0.2,0.9
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"4,985",828,10.1,5.8%,0.9%,"501,720 ","1,194",0.1,0.9
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"7,976","1,062",8.1,9.3%,1.2%,"701,625 ","1,127",-1.0,1.2
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"7,394",934,7.7,8.6%,1.0%,"727,912 ",963,0.0,1.0
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"6,361",815,7.8,7.4%,0.9%,"616,321 ","5,628",-0.1,0.9
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"6,018",815,8.2,7.0%,0.9%,"553,000 ","5,630",-0.4,0.9
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"6,273",859,8.3,7.3%,1.0%,"513,211 ",910,-1.2 ,1.0
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"5,870",796,8.2,6.8%,0.9%,"526,964 ",874,-0.5,0.9
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"6,260",865,8.4,7.3%,1.0%,"533,159 ","5,067",-1.0,1.0
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"5,234",792,9.2,6.1%,0.9%,"501,280 ","5,070",-0.2,0.9
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"3,789",590,9.5,4.4%,0.7%,"429,577 ","5,768",0.7,0.7
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"2,698",488,11.0,3.1%,0.6%,"350,769 ","4,358",1.1 ,0.6
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"1,583",334,12.8,1.8%,0.4%,"236,437 ","3,091",1.0 ,0.4
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"1,543",420,16.5,1.8%,0.5%,"166,740 ","3,181",0.2,0.5
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,"1,353",321,14.4,1.6%,0.4%,"171,306 ","3,260",0.4,0.4
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"17,308","1,838",6.5,20.1%,2.0%,"1,722,889 ","1,843",0.3,2.0
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"10,966",906,5.0,12.7%,0.9%,"1,354,829 ",948,3.3 ,0.9
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,38.1,0.8,1.2,,,-0.1,0.8,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"17,308","1,838",6.5,100.0%,,"1,722,889 ","1,843",0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"9,072","1,148",7.7,52.4%,3.6%,"880,464 ","1,196",-1.3,3.6
Female,"850,661",368,0.0,48.9%,0.0%,"8,236","1,104",8.2,47.6%,3.9%,"842,425 ","1,164",1.3,3.9
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"10,966",906,5.0,100.0%,,"1,354,829 ",948,0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"3,899",528,8.2,35.6%,3.8%,"571,015 ",563,6.5 ,3.8
Female,"790,881",213,0.0,57.9%,0.1%,"7,067",704,6.1,64.4%,3.6%,"783,814 ",736,-6.5 ,3.6


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Harlem (North) (MN1002),Harlem (North) (MN1002),Harlem (North) (MN1002),Harlem (North) (MN1002),Harlem (North) (MN1002),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"22,075","2,312",6.4,100.0%,,"2,398,464 ","2,312",0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,"3,332","1,538",28.1,15.1%,6.8%,"325,936 ","9,302",-1.5,6.8
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,"5,049",987,11.9,22.9%,3.8%,"600,177 ","10,487",2.1,3.8
Cuban,"41,793","2,594",3.8,1.7%,0.1%,174,127,44.4,0.8%,0.6%,"41,619 ","2,597",0.9 ,0.6
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,"9,610","1,588",10.0,43.5%,5.6%,"702,636 ","10,659",-14.1 ,5.6
Central American,"181,910","7,173",2.4,7.5%,0.3%,"1,289",525,24.8,5.8%,2.3%,"180,621 ","7,192",1.7,2.3
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,27,52,117.9,0.1%,0.2%,"6,605 ","1,045",0.2,0.2
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,71,85,72.9,0.3%,0.4%,"44,461 ","3,443",1.5 ,0.4
Honduran,"48,367","3,524",4.4,2.0%,0.1%,734,390,32.3,3.3%,1.7%,"47,633 ","3,546",-1.3,1.7
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,26,29,68.8,0.1%,0.1%,"10,734 ","1,824",0.3 ,0.1
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,21,30,86.1,0.1%,0.1%,"22,049 ","2,263",0.8 ,0.1
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,410,338,50.2,1.9%,1.5%,"48,459 ","4,324",0.1,1.5
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,"1,516",689,27.6,6.9%,3.0%,"404,631 ","9,601",9.9 ,3.0
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,25,29,69.5,0.1%,0.1%,"16,400 ","1,550",0.6 ,0.1
Bolivian,"4,058",824,12.3,0.2%,0.0%,7,12,104.2,0.0%,0.1%,"4,051 ",824,0.2 ,0.1
Chilean,"8,691","1,139",8.0,0.4%,0.0%,0,,,,,,,0.4,0.0
Colombian,"111,194","4,185",2.3,4.6%,0.2%,224,127,34.4,1.0%,0.6%,"110,970 ","4,187",3.6 ,0.6
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,665,465,42.5,3.0%,2.1%,"196,750 ","7,993",5.2 ,2.1
Paraguayan,"3,527",937,16.1,0.1%,0.0%,0,,,,,,,0.1,0.0
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,149,137,55.7,0.7%,0.6%,"40,289 ","2,856",1.0 ,0.6
Uruguayan,"3,088",650,12.8,0.1%,0.0%,0,,,,,,,0.1,0.0
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,446,477,65.0,2.0%,2.1%,"18,053 ","2,079",-1.2,2.1
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,"1,105",325,17.9,5.0%,1.4%,"142,844 ","5,668",0.9,1.4
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,152,118,47.2,0.7%,0.5%,"29,052 ","2,616",0.5,0.5
Spanish,"15,999","1,957",7.4,0.7%,0.1%,72,81,68.4,0.3%,0.4%,"15,927 ","1,959",0.4,0.4
Spanish American,642,265,25.1,0.0%,0.0%,20,32,97.3,0.1%,0.1%,622 ,267,-0.1,0.1
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,861,295,20.9,3.9%,1.3%,"97,243 ","4,341",0.2,1.3


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Harlem (North) (MN1002),Harlem (North) (MN1002),Harlem (North) (MN1002),Harlem (North) (MN1002),Harlem (North) (MN1002),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"37,040","1,074",1.8,100.0%,,"3,276,276 ","6,052",0.0,0.0
Family households (families),"1,928,865","9,723",0.3,58.2%,0.3%,"17,439","1,116",3.9,47.1%,2.7%,"1,911,426 ","9,787",11.1 ,2.7
With own children under 18 years,"764,350","7,647",0.6,23.1%,0.2%,"7,289",850,7.1,19.7%,2.2%,"757,061 ","7,694",3.4 ,2.2
Married-couple family,"1,181,568","8,786",0.5,35.7%,0.3%,"6,377",745,7.1,17.2%,1.9%,"1,175,191 ","8,818",18.5 ,1.9
With own children under 18 years,"475,842","6,019",0.8,14.4%,0.2%,"2,884",533,11.2,7.8%,1.4%,"472,958 ","6,043",6.6 ,1.4
"Male householder, no spouse present, family","187,202","3,793",1.2,5.6%,0.1%,"2,004",458,13.9,5.4%,1.2%,"185,198 ","3,821",0.2,1.2
With own children under 18 years,"56,524","2,408",2.6,1.7%,0.1%,773,288,22.7,2.1%,0.8%,"55,751 ","2,425",-0.4,0.8
"Female householder, no spouse present, family","560,095","5,913",0.6,16.9%,0.2%,"9,058",872,5.9,24.5%,2.2%,"551,037 ","5,977",-7.6 ,2.2
With own children under 18 years,"231,984","4,055",1.1,7.0%,0.1%,"3,632",596,10.0,9.8%,1.6%,"228,352 ","4,099",-2.8 ,1.6
Nonfamily households,"1,384,451","8,816",0.4,41.8%,0.3%,"19,601","1,128",3.5,52.9%,2.6%,"1,364,850 ","8,888",-11.1 ,2.6
Householder living alone,"1,105,579","8,546",0.5,33.4%,0.3%,"16,613","1,066",3.9,44.9%,2.6%,"1,088,966 ","8,612",-11.5 ,2.6
65 years and over,"402,938","4,766",0.7,12.2%,0.1%,"4,647",598,7.8,12.5%,1.6%,"398,291 ","4,803",-0.3,1.6
,,,,,,,,,,,
Households with one or more people under 18 years,"886,906","7,789",0.5,26.8%,0.2%,"8,940",828,5.6,24.1%,2.1%,"877,966 ","7,833",2.7 ,2.1
Households with one or more people 65 years and over,"1,031,541","4,324",0.3,31.1%,0.1%,"9,194",734,4.9,24.8%,1.8%,"1,022,347 ","4,386",6.3 ,1.8
,,,,,,,,,,,
Average household size ,2.51,0.01,0.2,,,2.26,0.11,3.0,,,0.25 ,0.11,,
Average family size ,3.27,0.01,0.2,,,3.30,0.33,6.1,,,-0.03,0.33,,
,,,,,,,,,,,


Employment Status
