New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Harlem (South) (MN1001),Harlem (South) (MN1001),Harlem (South) (MN1001),Harlem (South) (MN1001),Harlem (South) (MN1001),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"48,803","2,486",3.1,100.0%,,"8,467,399 ","2,486",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"23,390","1,611",4.2,47.9%,2.2%,"4,064,636 ","1,679",0.1,2.2
Female,"4,428,176",474,0.0,52.0%,0.1%,"25,413","1,665",4.0,52.1%,2.1%,"4,402,763 ","1,731",-0.1,2.1
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"2,528",510,12.3,5.2%,1.0%,"495,705 ",538,0.7,1.0
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"2,278",478,12.7,4.7%,0.9%,"459,917 ","4,816",0.7,0.9
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"2,723",506,11.3,5.6%,1.0%,"497,314 ","4,847",0.3,1.0
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"1,948",459,14.3,4.0%,0.9%,"456,431 ","1,016",1.4 ,0.9
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"2,758",638,14.1,5.7%,1.3%,"503,947 ","1,071",0.2,1.3
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"4,835",932,11.7,9.9%,1.8%,"704,766 ","1,005",-1.6,1.8
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"4,544",597,8.0,9.3%,1.1%,"730,762 ",641,-0.7,1.1
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"4,145",630,9.2,8.5%,1.2%,"618,537 ","5,605",-1.2,1.2
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"4,541",594,8.0,9.3%,1.1%,"554,477 ","5,603",-2.7 ,1.1
