New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Hell's Kitchen (MN0402),Hell's Kitchen (MN0402),Hell's Kitchen (MN0402),Hell's Kitchen (MN0402),Hell's Kitchen (MN0402),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"55,221","2,875",3.2,100.0%,,"8,460,981 ","2,875",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"30,056","2,142",4.3,54.4%,2.6%,"4,057,970 ","2,194",-6.4 ,2.6
Female,"4,428,176",474,0.0,52.0%,0.1%,"25,165","1,827",4.4,45.6%,2.3%,"4,403,011 ","1,887",6.4 ,2.3
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"1,403",588,25.5,2.5%,1.1%,"496,830 ",613,3.4 ,1.1
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"1,256",407,19.7,2.3%,0.7%,"460,939 ","4,809",3.1 ,0.7
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,761,358,28.6,1.4%,0.6%,"499,276 ","4,834",4.5 ,0.6
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,701,281,24.3,1.3%,0.5%,"457,678 ",949,4.1 ,0.5
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"3,382",926,16.6,6.1%,1.6%,"503,323 ","1,264",-0.2,1.6
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"7,572","1,040",8.4,13.7%,1.7%,"702,029 ","1,106",-5.4 ,1.7
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"8,344","1,135",8.3,15.1%,1.9%,"726,962 ","1,159",-6.5 ,1.9
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"5,133",876,10.4,9.3%,1.5%,"617,549 ","5,637",-2.0 ,1.5
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"3,869",761,12.0,7.0%,1.3%,"555,149 ","5,623",-0.4,1.3
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"3,086",643,12.7,5.6%,1.1%,"516,398 ",710,0.5,1.1
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"3,371",679,12.2,6.1%,1.2%,"529,463 ",769,0.2,1.2
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"3,736",782,12.7,6.8%,1.4%,"535,683 ","5,054",-0.5,1.4
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"2,805",614,13.3,5.1%,1.1%,"503,709 ","5,045",0.8,1.1
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"3,471",803,14.1,6.3%,1.4%,"429,895 ","5,794",-1.2,1.4
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"3,077",903,17.8,5.6%,1.6%,"350,390 ","4,424",-1.4,1.6
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"1,500",442,17.9,2.7%,0.8%,"236,520 ","3,105",0.1,0.8
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"1,000",575,34.9,1.8%,1.0%,"167,283 ","3,205",0.2,1.0
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,754,522,42.1,1.4%,0.9%,"171,905 ","3,286",0.6,0.9
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"3,849",805,12.7,7.0%,1.4%,"1,736,348 ",817,13.4 ,1.4
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"9,802","1,430",8.9,17.8%,2.4%,"1,355,993 ","1,457",-1.8,2.4
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,39.1,0.8,1.2,,,-1.1 ,0.8,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"3,849",805,12.7,100.0%,,"1,736,348 ",817,0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"1,996",525,16.0,51.9%,8.3%,"887,540 ",623,-0.8,8.3
Female,"850,661",368,0.0,48.9%,0.0%,"1,853",585,19.2,48.1%,11.4%,"848,808 ",691,0.8,11.4
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"9,802","1,430",8.9,100.0%,,"1,355,993 ","1,457",0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"4,971","1,136",13.9,50.7%,8.9%,"569,943 ","1,153",-8.6,8.9
Female,"790,881",213,0.0,57.9%,0.1%,"4,831",908,11.4,49.3%,5.8%,"786,050 ",933,8.6 ,5.8


Hispanic Subgroup
