New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Inwood (MN1203),Inwood (MN1203),Inwood (MN1203),Inwood (MN1203),Inwood (MN1203),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"38,209","2,612",4.2,100.0%,,"8,477,993 ","2,612",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"18,069","1,556",5.2,47.3%,2.5%,"4,069,957 ","1,627",0.7,2.5
Female,"4,428,176",474,0.0,52.0%,0.1%,"20,140","1,748",5.3,52.7%,2.8%,"4,408,036 ","1,811",-0.7,2.8
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"2,085",589,17.2,5.5%,1.5%,"496,148 ",614,0.4,1.5
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"1,725",391,13.8,4.5%,1.0%,"460,470 ","4,808",0.9,1.0
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"2,301",502,13.3,6.0%,1.2%,"497,736 ","4,847",-0.1,1.2
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"1,280",299,14.2,3.3%,0.7%,"457,099 ",954,2.1 ,0.7
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"2,030",479,14.3,5.3%,1.2%,"504,675 ",984,0.6,1.2
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"3,282",762,14.1,8.6%,1.9%,"706,319 ",850,-0.3,1.9
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"3,906",755,11.8,10.2%,1.8%,"731,400 ",790,-1.6,1.8
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"3,592",766,13.0,9.4%,1.9%,"619,090 ","5,621",-2.1 ,1.9
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"2,209",535,14.7,5.8%,1.3%,"556,809 ","5,597",0.8,1.3
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"2,208",507,14.0,5.8%,1.3%,"517,276 ",590,0.3,1.3
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"3,033",490,9.8,7.9%,1.2%,"529,801 ",609,-1.6 ,1.2
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"2,913",537,11.2,7.6%,1.3%,"536,506 ","5,022",-1.3,1.3
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"1,916",408,13.0,5.0%,1.0%,"504,598 ","5,025",0.9,1.0
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"1,653",374,13.8,4.3%,0.9%,"431,713 ","5,750",0.8,0.9
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"1,564",309,12.0,4.1%,0.8%,"351,903 ","4,342",0.1,0.8
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,995,287,17.5,2.6%,0.7%,"237,025 ","3,086",0.2,0.7
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,778,242,18.9,2.0%,0.6%,"167,505 ","3,162",0.0,0.6
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,739,263,21.7,1.9%,0.7%,"171,920 ","3,255",0.1,0.7
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"7,080",916,7.9,18.5%,2.0%,"1,733,117 ",927,1.9,2.0
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"5,729",582,6.2,15.0%,1.1%,"1,360,066 ",646,1.0,1.1
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,38.5,0.9,1.4,,,-0.5,0.9,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"7,080",916,7.9,100.0%,,"1,733,117 ",927,0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"3,462",630,11.1,48.9%,6.3%,"886,074 ",714,2.2,6.3
Female,"850,661",368,0.0,48.9%,0.0%,"3,618",705,11.8,51.1%,7.4%,"847,043 ",795,-2.2,7.4
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"5,729",582,6.2,100.0%,,"1,360,066 ",646,0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"2,156",377,10.6,37.6%,5.4%,"572,758 ",424,4.5,5.4
Female,"790,881",213,0.0,57.9%,0.1%,"3,573",456,7.8,62.4%,4.8%,"787,308 ",503,-4.5,4.8


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Inwood (MN1203),Inwood (MN1203),Inwood (MN1203),Inwood (MN1203),Inwood (MN1203),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"26,263","2,564",5.9,100.0%,,"2,394,276 ","2,564",0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,"1,489",668,27.3,5.7%,2.5%,"327,779 ","9,198",7.9 ,2.5
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,"1,699",536,19.2,6.5%,1.9%,"603,527 ","10,454",18.5 ,1.9
Cuban,"41,793","2,594",3.8,1.7%,0.1%,526,265,30.6,2.0%,1.0%,"41,267 ","2,608",-0.3,1.0
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,"19,512","2,291",7.1,74.3%,4.8%,"692,734 ","10,786",-44.9 ,4.8
Central American,"181,910","7,173",2.4,7.5%,0.3%,272,210,46.9,1.0%,0.8%,"181,638 ","7,176",6.5 ,0.9
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,31,51,100.0,0.1%,0.2%,"6,601 ","1,045",0.2,0.2
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,0,,,,,,,1.8,0.1
Honduran,"48,367","3,524",4.4,2.0%,0.1%,72,101,85.3,0.3%,0.4%,"48,295 ","3,525",1.7 ,0.4
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,54,74,83.3,0.2%,0.3%,"10,706 ","1,826",0.2,0.3
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,87,106,74.1,0.3%,0.4%,"21,983 ","2,265",0.6 ,0.4
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,28,25,55.3,0.1%,0.1%,"48,841 ","4,311",1.9 ,0.2
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,"1,457",555,23.2,5.5%,2.0%,"404,690 ","9,592",11.3 ,2.0
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,11,18,100.8,0.0%,0.1%,"16,414 ","1,550",0.7 ,0.1
Bolivian,"4,058",824,12.3,0.2%,0.0%,0,,,,,,,0.2,0.0
Chilean,"8,691","1,139",8.0,0.4%,0.0%,62,70,69.1,0.2%,0.3%,"8,629 ","1,141",0.2,0.3
Colombian,"111,194","4,185",2.3,4.6%,0.2%,130,93,43.6,0.5%,0.4%,"111,064 ","4,186",4.1 ,0.4
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,690,421,37.1,2.6%,1.6%,"196,725 ","7,990",5.6 ,1.6
Paraguayan,"3,527",937,16.1,0.1%,0.0%,0,,,,,,,0.1,0.0
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,423,360,51.8,1.6%,1.4%,"40,015 ","2,876",0.1,1.4
Uruguayan,"3,088",650,12.8,0.1%,0.0%,32,55,104.5,0.1%,0.2%,"3,056 ",652,0.0,0.2
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,109,109,60.8,0.4%,0.4%,"18,390 ","2,027",0.4,0.4
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,"1,308",876,40.7,5.0%,3.3%,"142,641 ","5,726",0.9,3.3
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,205,253,74.9,0.8%,1.0%,"28,999 ","2,625",0.4,1.0
Spanish,"15,999","1,957",7.4,0.7%,0.1%,32,39,74.0,0.1%,0.1%,"15,967 ","1,957",0.6 ,0.1
Spanish American,642,265,25.1,0.0%,0.0%,0,,,,,,,0.0,0.0
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,"1,071",833,47.3,4.1%,3.1%,"97,033 ","4,410",0.0,3.1


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Inwood (MN1203),Inwood (MN1203),Inwood (MN1203),Inwood (MN1203),Inwood (MN1203),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"15,208",570,2.3,100.0%,,"3,298,108 ","5,983",0.0,0.0
Family households (families),"1,928,865","9,723",0.3,58.2%,0.3%,"7,992",624,4.7,52.6%,3.6%,"1,920,873 ","9,743",5.6 ,3.6
With own children under 18 years,"764,350","7,647",0.6,23.1%,0.2%,"3,309",504,9.3,21.8%,3.2%,"761,041 ","7,664",1.3,3.2
Married-couple family,"1,181,568","8,786",0.5,35.7%,0.3%,"4,172",525,7.6,27.4%,3.3%,"1,177,396 ","8,802",8.3 ,3.3
With own children under 18 years,"475,842","6,019",0.8,14.4%,0.2%,"1,840",355,11.7,12.1%,2.3%,"474,002 ","6,029",2.3,2.3
"Male householder, no spouse present, family","187,202","3,793",1.2,5.6%,0.1%,955,316,20.1,6.3%,2.1%,"186,247 ","3,806",-0.7,2.1
With own children under 18 years,"56,524","2,408",2.6,1.7%,0.1%,278,190,41.6,1.8%,1.2%,"56,246 ","2,415",-0.1,1.2
"Female householder, no spouse present, family","560,095","5,913",0.6,16.9%,0.2%,"2,865",504,10.7,18.8%,3.2%,"557,230 ","5,934",-1.9,3.2
With own children under 18 years,"231,984","4,055",1.1,7.0%,0.1%,"1,191",303,15.4,7.8%,2.0%,"230,793 ","4,066",-0.8,2.0
Nonfamily households,"1,384,451","8,816",0.4,41.8%,0.3%,"7,216",595,5.0,47.4%,3.5%,"1,377,235 ","8,836",-5.6 ,3.5
