New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Lower East Side (MN0302),Lower East Side (MN0302),Lower East Side (MN0302),Lower East Side (MN0302),Lower East Side (MN0302),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"46,107","2,186",2.9,100.0%,,"8,470,095 ","2,186",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"22,388","1,463",4.0,48.6%,2.2%,"4,065,638 ","1,538",-0.6,2.2
Female,"4,428,176",474,0.0,52.0%,0.1%,"23,719","1,414",3.6,51.4%,1.9%,"4,404,457 ","1,491",0.6,1.9
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"1,568",460,17.8,3.4%,1.0%,"496,665 ",491,2.5 ,1.0
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"1,980",586,18.0,4.3%,1.3%,"460,215 ","4,828",1.1,1.3
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"1,563",366,14.2,3.4%,0.8%,"498,474 ","4,835",2.5 ,0.8
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"1,887",452,14.6,4.1%,1.0%,"456,492 ","1,012",1.3 ,1.0
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"3,707",611,10.0,8.0%,1.3%,"502,998 ","1,055",-2.1 ,1.3
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"5,140",678,8.0,11.1%,1.4%,"704,461 ",775,-2.8 ,1.4
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"2,721",484,10.8,5.9%,1.0%,"732,585 ",537,2.7 ,1.0
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"3,233",555,10.4,7.0%,1.2%,"619,449 ","5,597",0.3,1.2
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"2,857",527,11.2,6.2%,1.1%,"556,161 ","5,596",0.4,1.1
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"2,677",490,11.1,5.8%,1.0%,"516,807 ",575,0.3,1.0
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"2,955",522,10.7,6.4%,1.1%,"529,879 ",635,-0.1,1.1
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"3,052",633,12.6,6.6%,1.3%,"536,367 ","5,033",-0.3,1.3
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"2,639",483,11.1,5.7%,1.0%,"503,875 ","5,031",0.2,1.0
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"2,536",551,13.2,5.5%,1.2%,"430,830 ","5,764",-0.4,1.2
