New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"22,260","1,850",5.1,100.0%,,"8,493,942 ","1,850",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"11,431","1,181",6.3,51.4%,3.2%,"4,076,595 ","1,273",-3.4 ,3.2
Female,"4,428,176",474,0.0,52.0%,0.1%,"10,829","1,322",7.4,48.6%,4.3%,"4,417,347 ","1,404",3.4,4.3
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"1,441",533,22.5,6.5%,2.3%,"496,792 ",560,-0.6,2.3
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"1,312",423,19.6,5.9%,1.8%,"460,883 ","4,811",-0.5,1.8
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"1,267",354,17.0,5.7%,1.5%,"498,770 ","4,834",0.2,1.5
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"1,096",290,16.1,4.9%,1.2%,"457,283 ",951,0.5,1.2
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"1,479",360,14.8,6.6%,1.5%,"505,226 ",932,-0.7,1.5
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"2,452",558,13.8,11.0%,2.3%,"707,149 ",673,-2.7 ,2.3
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"2,323",485,12.7,10.4%,2.0%,"732,983 ",538,-1.8,2.0
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"1,475",404,16.7,6.6%,1.7%,"621,207 ","5,584",0.7,1.7
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"1,720",430,15.2,7.7%,1.8%,"557,298 ","5,588",-1.1,1.8
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"1,244",344,16.8,5.6%,1.5%,"518,240 ",457,0.5,1.5
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"1,012",361,21.7,4.5%,1.6%,"531,822 ",511,1.8 ,1.6
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"1,343",336,15.2,6.0%,1.4%,"538,076 ","5,004",0.3,1.4
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"1,170",331,17.2,5.3%,1.4%,"505,344 ","5,019",0.6,1.4
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,814,293,21.9,3.7%,1.3%,"432,552 ","5,745",1.4 ,1.3
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,730,237,19.7,3.3%,1.0%,"352,737 ","4,337",0.9,1.0
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,552,212,23.4,2.5%,0.9%,"237,468 ","3,080",0.3,0.9
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,469,174,22.6,2.1%,0.8%,"167,814 ","3,158",-0.1,0.8
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,361,187,31.5,1.6%,0.8%,"172,298 ","3,249",0.4,0.8
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"4,577",853,11.3,20.6%,3.4%,"1,735,620 ",864,-0.2,3.4
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"2,926",483,10.0,13.1%,1.9%,"1,362,869 ",558,2.9 ,1.9
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,34.5,1.1,2.0,,,3.5 ,1.1,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"4,577",853,11.3,100.0%,,"1,735,620 ",864,0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"2,705",673,15.1,59.1%,9.8%,"886,831 ",752,-8.0,9.8
Female,"850,661",368,0.0,48.9%,0.0%,"1,872",657,21.3,40.9%,12.2%,"848,789 ",753,8.0,12.2
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"2,926",483,10.0,100.0%,,"1,362,869 ",558,0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"1,164",275,14.4,39.8%,6.7%,"573,750 ",337,2.3,6.7
Female,"790,881",213,0.0,57.9%,0.1%,"1,762",355,12.2,60.2%,6.9%,"789,119 ",414,-2.3,6.9


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"11,222","1,509",8.2,100.0%,,"2,409,317 ","1,509",0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,977,545,33.9,8.7%,4.7%,"328,291 ","9,190",4.9 ,4.7
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,"1,805",739,24.9,16.1%,6.2%,"603,421 ","10,466",8.9 ,6.2
Cuban,"41,793","2,594",3.8,1.7%,0.1%,44,65,89.8,0.4%,0.6%,"41,749 ","2,595",1.3 ,0.6
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,"7,096","1,433",12.3,63.2%,9.5%,"705,150 ","10,637",-33.8 ,9.5
Central American,"181,910","7,173",2.4,7.5%,0.3%,516,728,85.8,4.6%,6.5%,"181,394 ","7,210",2.9,6.5
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,0,,,,,,,0.3,0.0
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,0,,,,,,,1.8,0.1
Honduran,"48,367","3,524",4.4,2.0%,0.1%,40,64,97.3,0.4%,0.6%,"48,327 ","3,525",1.6 ,0.6
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,0,,,,,,,0.4,0.1
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,0,,,,,,,0.9,0.1
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,476,725,92.6,4.2%,6.4%,"48,393 ","4,372",-2.2,6.4
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,367,204,33.7,3.3%,1.8%,"405,780 ","9,578",13.5 ,1.8
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,6,9,91.2,0.1%,0.1%,"16,419 ","1,550",0.6 ,0.1
Bolivian,"4,058",824,12.3,0.2%,0.0%,0,,,,,,,0.2,0.0
Chilean,"8,691","1,139",8.0,0.4%,0.0%,35,43,74.8,0.3%,0.4%,"8,656 ","1,140",0.1,0.4
Colombian,"111,194","4,185",2.3,4.6%,0.2%,82,106,78.4,0.7%,0.9%,"111,112 ","4,186",3.9 ,0.9
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,61,77,76.7,0.5%,0.7%,"197,354 ","7,979",7.7 ,0.8
Paraguayan,"3,527",937,16.1,0.1%,0.0%,25,35,85.1,0.2%,0.3%,"3,502 ",938,-0.1,0.3
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,111,126,69.0,1.0%,1.1%,"40,327 ","2,856",0.7,1.1
Uruguayan,"3,088",650,12.8,0.1%,0.0%,0,,,,,,,0.1,0.0
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,47,76,98.3,0.4%,0.7%,"18,452 ","2,025",0.4,0.7
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,417,309,45.0,3.7%,2.7%,"143,532 ","5,667",2.2,2.7
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,0,,,,,,,1.2,0.1
Spanish,"15,999","1,957",7.4,0.7%,0.1%,22,37,102.2,0.2%,0.3%,"15,977 ","1,957",0.5 ,0.3
Spanish American,642,265,25.1,0.0%,0.0%,0,,,,,,,0.0,0.0
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,395,306,47.1,3.5%,2.7%,"97,709 ","4,342",0.6,2.7


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"8,311",490,3.6,100.0%,,"3,305,005 ","5,976",0.0,0.0
Family households (families),"1,928,865","9,723",0.3,58.2%,0.3%,"3,700",475,7.8,44.5%,5.1%,"1,925,165 ","9,735",13.7 ,5.1
With own children under 18 years,"764,350","7,647",0.6,23.1%,0.2%,"1,541",374,14.7,18.5%,4.4%,"762,809 ","7,656",4.6 ,4.4
Married-couple family,"1,181,568","8,786",0.5,35.7%,0.3%,"1,554",325,12.7,18.7%,3.8%,"1,180,014 ","8,792",17.0 ,3.8
With own children under 18 years,"475,842","6,019",0.8,14.4%,0.2%,564,188,20.3,6.8%,2.2%,"475,278 ","6,022",7.6 ,2.2
"Male householder, no spouse present, family","187,202","3,793",1.2,5.6%,0.1%,353,193,33.3,4.2%,2.3%,"186,849 ","3,798",1.4,2.3
With own children under 18 years,"56,524","2,408",2.6,1.7%,0.1%,101,88,52.7,1.2%,1.1%,"56,423 ","2,410",0.5,1.1
"Female householder, no spouse present, family","560,095","5,913",0.6,16.9%,0.2%,"1,793",346,11.7,21.6%,4.0%,"558,302 ","5,923",-4.7 ,4.0
With own children under 18 years,"231,984","4,055",1.1,7.0%,0.1%,876,311,21.6,10.5%,3.7%,"231,108 ","4,067",-3.5,3.7
Nonfamily households,"1,384,451","8,816",0.4,41.8%,0.3%,"4,611",444,5.9,55.5%,4.2%,"1,379,840 ","8,827",-13.7 ,4.2
Householder living alone,"1,105,579","8,546",0.5,33.4%,0.3%,"3,305",421,7.7,39.8%,4.5%,"1,102,274 ","8,556",-6.4 ,4.5
65 years and over,"402,938","4,766",0.7,12.2%,0.1%,"1,114",299,16.3,13.4%,3.5%,"401,824 ","4,775",-1.2,3.5
,,,,,,,,,,,
Households with one or more people under 18 years,"886,906","7,789",0.5,26.8%,0.2%,"2,057",330,9.7,24.8%,3.7%,"884,849 ","7,796",2.0,3.7
Households with one or more people 65 years and over,"1,031,541","4,324",0.3,31.1%,0.1%,"2,245",362,9.8,27.0%,4.1%,"1,029,296 ","4,339",4.1,4.1
,,,,,,,,,,,
Average household size ,2.51,0.01,0.2,,,2.58,0.27,6.3,,,-0.07,0.27,,
Average family size ,3.27,0.01,0.2,,,3.86,0.78,12.2,,,-0.59,0.78,,
,,,,,,,,,,,


Employment Status
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Population 16 years and over,"6,960,966","2,408",0.0,100.0%,,"18,085","1,465",4.9,100.0%,,"6,942,881 ","2,819",0.0,0.0
In labor force,"4,412,075","10,974",0.2,63.4%,0.2%,"10,847","1,229",6.9,60.0%,4.8%,"4,401,228 ","11,043",3.4,4.8
Civilian labor force,"4,408,428","10,977",0.2,63.3%,0.2%,"10,847","1,229",6.9,60.0%,4.8%,"4,397,581 ","11,046",3.3,4.8
Employed,"4,070,496","12,696",0.2,58.5%,0.2%,"9,436","1,103",7.1,52.2%,4.4%,"4,061,060 ","12,744",6.3 ,4.4
Unemployed,"337,932","6,401",1.2,4.9%,0.1%,"1,411",547,23.6,7.8%,3.0%,"336,521 ","6,424",-2.9,3.0
Armed Forces,"3,647",577,9.6,0.1%,0.1%,0,,,,,,,0.1,0.1
Not in labor force,"2,548,891","11,162",0.3,36.6%,0.2%,"7,238",819,6.9,40.0%,3.2%,"2,541,653 ","11,192",-3.4 ,3.2
,,,,,,,,,,,
Civilian labor force,"4,408,428","10,977",0.2,100.0%,,"10,847","1,229",6.9,100.0%,,"4,397,581 ","11,046",0.0,0.0
Unemployed (percent equivalent to unemployment rate),"337,932","6,401",1.2,7.7%,0.1%,"1,411",547,23.6,13.0%,4.8%,"336,521 ","6,424",-5.3 ,4.8
,,,,,,,,,,,
Females 16 years and over,"3,668,464","1,624",0.0,100.0%,,"9,149",985,6.5,100.0%,,"3,659,315 ","1,899",0.0,0.0
In labor force,"2,175,500","6,986",0.2,59.3%,0.2%,"4,980",747,9.1,54.4%,5.7%,"2,170,520 ","7,026",4.9,5.7
Civilian labor force,"2,174,950","6,996",0.2,59.3%,0.2%,"4,980",747,9.1,54.4%,5.7%,"2,169,970 ","7,036",4.9,5.7
Employed,"2,016,577","8,179",0.2,55.0%,0.2%,"4,311",660,9.3,47.1%,5.1%,"2,012,266 ","8,206",7.9 ,5.1
,,,,,,,,,,,
Own children under 6 years,"564,614","3,422",0.4,100.0%,,"1,305",482,22.4,100.0%,,"563,309 ","3,456",0.0,0.0
All parents in family in labor force,"376,161","4,881",0.8,66.6%,0.7%,948,454,29.1,72.6%,22.2%,"375,213 ","4,902",-6.0,22.2
,,,,,,,,,,,
Own children 6 to 17 years,"1,087,217","4,038",0.2,100.0%,,"2,661",577,13.2,100.0%,,"1,084,556 ","4,079",0.0,0.0
All parents in family in labor force,"747,622","6,961",0.6,68.8%,0.5%,"1,767",482,16.6,66.4%,11.0%,"745,855 ","6,978",2.4,11.0


Income and Benefits 
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Manhattanville-West Harlem (MN0902),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"8,311",490,3.6,100.0%,,"3,305,005 ","5,976",0.0,0.0
"Household income of less than $10,000","236,747","4,245",1.1,7.1%,0.1%,776,283,22.2,9.3%,3.4%,"235,971 ","4,254",-2.2,3.4
"$10,000 to $14,999","172,254","3,882",1.4,5.2%,0.1%,784,246,19.1,9.4%,2.9%,"171,470 ","3,890",-4.2 ,2.9
"$15,000 to $24,999","232,549","4,678",1.2,7.0%,0.1%,"1,360",389,17.4,16.4%,4.6%,"231,189 ","4,694",-9.4 ,4.6
"$25,000 to $34,999","209,643","4,372",1.3,6.3%,0.1%,435,188,26.3,5.2%,2.2%,"209,208 ","4,376",1.1,2.2
"$35,000 to $49,999","293,907","4,792",1.0,8.9%,0.1%,"1,072",303,17.2,12.9%,3.6%,"292,835 ","4,802",-4.0 ,3.6
"$50,000 to $74,999","439,817","6,207",0.9,13.3%,0.2%,"1,585",394,15.1,19.1%,4.6%,"438,232 ","6,219",-5.8 ,4.6
"$75,000 to $99,999","358,219","5,234",0.9,10.8%,0.2%,726,216,18.1,8.7%,2.6%,"357,493 ","5,238",2.1,2.6
"$100,000 to $149,999","505,509","6,617",0.8,15.3%,0.2%,654,225,20.9,7.9%,2.7%,"504,855 ","6,621",7.4 ,2.7
"$150,000 to $199,999","308,697","5,232",1.0,9.3%,0.2%,399,165,25.1,4.8%,2.0%,"308,298 ","5,235",4.5 ,2.0
"$200,000 or more","555,974","6,266",0.7,16.8%,0.2%,520,183,21.4,6.3%,2.2%,"555,454 ","6,269",10.5 ,2.2
Median household income (dollars) ,"79,713",602,0.5,,,"46,819","4,770",6.2,,,"32,894 ","4,808",,
Mean household income (dollars) ,"127,894",973,0.5,,,"68,658","10,150",9.0,,,"59,236 ","10,197",,
,,,,,,,,,,,
Households with Social Security,"912,055","5,856",0.4,27.5%,0.2%,"2,383",380,9.7,28.7%,4.3%,"909,672 ","5,868",-1.2,4.3
Households with retirement income,"603,503","6,532",0.7,18.2%,0.2%,802,243,18.4,9.6%,2.9%,"602,701 ","6,537",8.6 ,2.9
Households with Supplemental Security Income,"241,563","4,666",1.2,7.3%,0.1%,"1,132",243,13.1,13.6%,2.8%,"240,431 ","4,672",-6.3 ,2.8
Households with cash public assistance income,"184,595","4,422",1.5,5.6%,0.1%,830,294,21.5,10.0%,3.5%,"183,765 ","4,432",-4.4 ,3.5
Households with Food Stamp/SNAP benefits in the past 12 months,"668,761","7,338",0.7,20.2%,0.2%,"3,048",444,8.8,36.7%,4.9%,"665,713 ","7,351",-16.5 ,4.9
,,,,,,,,,,,
Family households,"1,928,865","9,723",0.3,100.0%,,"3,700",475,7.8,100.0%,,"1,925,165 ","9,735",0.0,0.0
"Family income of less than $10,000","93,698","3,154",2.0,4.9%,0.2%,303,199,39.9,8.2%,5.3%,"93,395 ","3,160",-3.3,5.3
"$10,000 to $14,999","51,989","2,439",2.9,2.7%,0.1%,254,182,43.6,6.9%,4.8%,"51,735 ","2,446",-4.2,4.8
"$15,000 to $24,999","114,523","3,473",1.8,5.9%,0.2%,571,235,25.1,15.4%,6.0%,"113,952 ","3,481",-9.5 ,6.0
"$25,000 to $34,999","120,542","3,396",1.7,6.2%,0.2%,144,96,40.4,3.9%,2.5%,"120,398 ","3,397",2.3,2.5
"$35,000 to $49,999","178,753","3,762",1.3,9.3%,0.2%,691,240,21.1,18.7%,6.0%,"178,062 ","3,770",-9.4 ,6.0
"$50,000 to $74,999","265,498","4,727",1.1,13.8%,0.2%,768,271,21.4,20.8%,6.8%,"264,730 ","4,735",-7.0 ,6.8
"$75,000 to $99,999","216,851","3,776",1.1,11.2%,0.2%,262,152,35.3,7.1%,4.0%,"216,589 ","3,779",4.1 ,4.0
"$100,000 to $149,999","313,618","5,166",1.0,16.3%,0.3%,284,169,36.2,7.7%,4.5%,"313,334 ","5,169",8.6 ,4.5
"$150,000 to $199,999","199,982","3,789",1.2,10.4%,0.2%,197,122,37.7,5.3%,3.2%,"199,785 ","3,791",5.1 ,3.2
