New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"29,670","1,476",3.0,100.0%,,"8,486,532 ","1,476",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"14,455","1,000",4.2,48.7%,2.3%,"4,073,571 ","1,107",-0.7,2.3
Female,"4,428,176",474,0.0,52.0%,0.1%,"15,215","1,056",4.2,51.3%,2.5%,"4,412,961 ","1,158",0.7,2.5
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,723,237,19.9,2.4%,0.8%,"497,510 ",293,3.5 ,0.8
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,817,268,19.9,2.8%,0.9%,"461,378 ","4,799",2.6 ,0.9
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,567,237,25.4,1.9%,0.8%,"499,470 ","4,827",4.0 ,0.8
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"2,114",284,8.2,7.1%,0.9%,"456,265 ",949,-1.7 ,0.9
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"2,276",373,10.0,7.7%,1.2%,"504,429 ",937,-1.8 ,1.2
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"4,217",615,8.9,14.2%,1.9%,"705,384 ",721,-5.9 ,1.9
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"3,975",675,10.3,13.4%,2.2%,"731,331 ",714,-4.8 ,2.2
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"2,828",511,11.0,9.5%,1.7%,"619,854 ","5,592",-2.2 ,1.7
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"2,276",549,14.7,7.7%,1.8%,"556,742 ","5,598",-1.1,1.8
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"1,867",416,13.5,6.3%,1.4%,"517,617 ",513,-0.2,1.4
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"1,520",311,12.4,5.1%,1.0%,"531,314 ",477,1.2 ,1.0
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"1,575",377,14.6,5.3%,1.2%,"537,844 ","5,007",1.0,1.2
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"1,353",368,16.5,4.6%,1.2%,"505,161 ","5,022",1.3 ,1.2
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"1,189",314,16.0,4.0%,1.0%,"432,177 ","5,747",1.1 ,1.0
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"1,079",277,15.6,3.6%,0.9%,"352,388 ","4,340",0.6,0.9
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,721,182,15.3,2.4%,0.6%,"237,299 ","3,078",0.4,0.6
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,305,157,31.3,1.0%,0.5%,"167,978 ","3,157",1.0 ,0.5
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,268,133,30.3,0.9%,0.4%,"172,391 ","3,247",1.1 ,0.4
,,,,,,,,,,,
