New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"21,949","1,546",4.3,100.0%,,"8,494,253 ","1,546",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"11,742","1,106",5.7,53.5%,3.3%,"4,076,284 ","1,203",-5.5 ,3.3
Female,"4,428,176",474,0.0,52.0%,0.1%,"10,207",951,5.7,46.5%,2.8%,"4,417,969 ","1,063",5.5 ,2.8
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,550,197,21.8,2.5%,0.9%,"497,683 ",262,3.4 ,0.9
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,429,258,36.5,2.0%,1.2%,"461,766 ","4,799",3.4 ,1.2
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,388,223,34.9,1.8%,1.0%,"499,649 ","4,826",4.1 ,1.0
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,316,169,32.5,1.4%,0.8%,"458,063 ",922,4.0 ,0.8
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,866,198,13.9,3.9%,0.9%,"505,839 ",882,2.0 ,0.9
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"2,925",610,12.7,13.3%,2.6%,"706,676 ",717,-5.0 ,2.6
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"2,458",435,10.8,11.2%,1.8%,"732,848 ",493,-2.6 ,1.8
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"2,252",409,11.0,10.3%,1.7%,"620,430 ","5,584",-3.0 ,1.7
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"1,385",324,14.2,6.3%,1.4%,"557,633 ","5,580",0.3,1.4
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"1,368",384,17.1,6.2%,1.7%,"518,116 ",488,-0.1,1.7
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"1,566",527,20.4,7.1%,2.3%,"531,268 ",639,-0.8,2.3
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"1,097",293,16.2,5.0%,1.3%,"538,322 ","5,002",1.3,1.3
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"1,466",332,13.8,6.7%,1.4%,"505,048 ","5,019",-0.8,1.4
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"1,235",322,15.8,5.6%,1.4%,"432,131 ","5,747",-0.5,1.4
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"1,638",378,14.0,7.5%,1.6%,"351,829 ","4,347",-3.3 ,1.6
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,791,255,19.6,3.6%,1.1%,"237,229 ","3,084",-0.8,1.1
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,410,159,23.6,1.9%,0.7%,"167,873 ","3,157",0.1,0.7
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,809,330,24.8,3.7%,1.5%,"171,850 ","3,261",-1.7 ,1.5
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"1,555",510,19.9,7.1%,2.3%,"1,738,642 ",529,13.3 ,2.3
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"4,883",652,8.1,22.2%,2.5%,"1,360,912 ",710,-6.2 ,2.5
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,42.8,1.8,2.5,,,-4.8 ,1.8,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"1,555",510,19.9,100.0%,,"1,738,642 ",529,0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,371,187,30.6,23.9%,9.1%,"889,165 ",385,27.2 ,9.1
Female,"850,661",368,0.0,48.9%,0.0%,"1,184",452,23.2,76.1%,14.9%,"849,477 ",583,-27.2 ,14.9
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"4,883",652,8.1,100.0%,,"1,360,912 ",710,0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"2,600",530,12.4,53.2%,8.2%,"572,314 ",565,-11.1 ,8.2
Female,"790,881",213,0.0,57.9%,0.1%,"2,283",329,8.8,46.8%,2.5%,"788,598 ",392,11.1 ,2.5


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"2,563",744,17.6,100.0%,,"2,417,976 ",744,0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,159,79,30.4,6.2%,2.5%,"329,109 ","9,174",7.4 ,2.5
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,608,266,26.6,23.7%,7.7%,"604,618 ","10,443",1.3,7.7
Cuban,"41,793","2,594",3.8,1.7%,0.1%,126,136,65.6,4.9%,5.1%,"41,667 ","2,598",-3.2,5.1
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,176,93,32.0,6.9%,3.0%,"712,070 ","10,540",22.5 ,3.0
Central American,"181,910","7,173",2.4,7.5%,0.3%,90,65,44.1,3.5%,2.3%,"181,820 ","7,173",4.0 ,2.3
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,0,,,,,,,0.3,0.0
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,46,44,57.5,1.8%,1.6%,"44,486 ","3,442",0.0,1.6
Honduran,"48,367","3,524",4.4,2.0%,0.1%,28,44,95.5,1.1%,1.7%,"48,339 ","3,524",0.9,1.7
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,0,,,,,,,0.4,0.1
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,16,21,79.3,0.6%,0.8%,"22,054 ","2,263",0.3,0.8
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,0,,,,,,,2.0,0.2
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,425,195,27.9,16.6%,5.9%,"405,722 ","9,578",0.2,5.9
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,70,75,65.5,2.7%,2.8%,"16,355 ","1,552",-2.0,2.8
Bolivian,"4,058",824,12.3,0.2%,0.0%,48,59,74.8,1.9%,2.2%,"4,010 ",826,-1.7,2.2
Chilean,"8,691","1,139",8.0,0.4%,0.0%,0,,,,,,,0.4,0.0
Colombian,"111,194","4,185",2.3,4.6%,0.2%,113,112,60.3,4.4%,4.2%,"111,081 ","4,186",0.2,4.2
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,25,31,75.1,1.0%,1.2%,"197,390 ","7,979",7.2 ,1.2
Paraguayan,"3,527",937,16.1,0.1%,0.0%,0,,,,,,,0.1,0.0
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,33,40,74.2,1.3%,1.5%,"40,405 ","2,853",0.4,1.5
Uruguayan,"3,088",650,12.8,0.1%,0.0%,112,122,66.1,4.4%,4.6%,"2,976 ",661,-4.3,4.6
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,24,24,60.3,0.9%,0.9%,"18,475 ","2,024",-0.1,0.9
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,979,677,42.0,38.2%,24.0%,"142,970 ","5,699",-32.3 ,24.0
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,261,226,52.6,10.2%,8.3%,"28,943 ","2,623",-9.0 ,8.3
Spanish,"15,999","1,957",7.4,0.7%,0.1%,7,10,86.8,0.3%,0.4%,"15,992 ","1,957",0.4,0.4
Spanish American,642,265,25.1,0.0%,0.0%,0,,,,,,,0.0,0.0
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,711,635,54.3,27.7%,23.4%,"97,393 ","4,377",-23.6 ,23.4


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"12,921",801,3.8,100.0%,,"3,300,395 ","6,010",0.0,0.0
Family households (families),"1,928,865","9,723",0.3,58.2%,0.3%,"3,790",495,7.9,29.3%,3.4%,"1,925,075 ","9,736",28.9 ,3.4
With own children under 18 years,"764,350","7,647",0.6,23.1%,0.2%,936,264,17.2,7.2%,2.0%,"763,414 ","7,652",15.9 ,2.0
Married-couple family,"1,181,568","8,786",0.5,35.7%,0.3%,"3,330",476,8.7,25.8%,3.3%,"1,178,238 ","8,799",9.9 ,3.3
With own children under 18 years,"475,842","6,019",0.8,14.4%,0.2%,802,249,18.9,6.2%,1.9%,"475,040 ","6,024",8.2 ,1.9
"Male householder, no spouse present, family","187,202","3,793",1.2,5.6%,0.1%,111,114,62.4,0.9%,0.9%,"187,091 ","3,795",4.7 ,0.9
With own children under 18 years,"56,524","2,408",2.6,1.7%,0.1%,9,19,128.3,0.1%,0.1%,"56,515 ","2,408",1.6 ,0.1
"Female householder, no spouse present, family","560,095","5,913",0.6,16.9%,0.2%,349,139,24.2,2.7%,1.1%,"559,746 ","5,915",14.2 ,1.1
With own children under 18 years,"231,984","4,055",1.1,7.0%,0.1%,125,85,41.5,1.0%,0.7%,"231,859 ","4,056",6.0 ,0.7
Nonfamily households,"1,384,451","8,816",0.4,41.8%,0.3%,"9,131",823,5.5,70.7%,4.6%,"1,375,320 ","8,854",-28.9 ,4.6
Householder living alone,"1,105,579","8,546",0.5,33.4%,0.3%,"7,882",831,6.4,61.0%,5.2%,"1,097,697 ","8,586",-27.6 ,5.2
65 years and over,"402,938","4,766",0.7,12.2%,0.1%,"2,533",492,11.8,19.6%,3.6%,"400,405 ","4,791",-7.4 ,3.6
,,,,,,,,,,,
Households with one or more people under 18 years,"886,906","7,789",0.5,26.8%,0.2%,944,262,16.8,7.3%,2.0%,"885,962 ","7,793",19.5 ,2.0
Households with one or more people 65 years and over,"1,031,541","4,324",0.3,31.1%,0.1%,"3,809",508,8.1,29.5%,3.5%,"1,027,732 ","4,354",1.6,3.5
,,,,,,,,,,,
Average household size ,2.51,0.01,0.2,,,1.61,0.16,5.9,,,0.90 ,0.16,,
Average family size ,3.27,0.01,0.2,,,2.56,0.51,12.0,,,0.71 ,0.51,,
,,,,,,,,,,,


Employment Status
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Population 16 years and over,"6,960,966","2,408",0.0,100.0%,,"20,454","1,310",3.9,100.0%,,"6,940,512 ","2,741",0.0,0.0
In labor force,"4,412,075","10,974",0.2,63.4%,0.2%,"14,151","1,037",4.5,69.2%,2.5%,"4,397,924 ","11,023",-5.8 ,2.5
Civilian labor force,"4,408,428","10,977",0.2,63.3%,0.2%,"14,146","1,037",4.5,69.2%,2.5%,"4,394,282 ","11,026",-5.9 ,2.5
Employed,"4,070,496","12,696",0.2,58.5%,0.2%,"13,416","1,005",4.6,65.6%,2.6%,"4,057,080 ","12,736",-7.1 ,2.6
Unemployed,"337,932","6,401",1.2,4.9%,0.1%,730,241,20.0,3.6%,1.2%,"337,202 ","6,406",1.3 ,1.2
Armed Forces,"3,647",577,9.6,0.1%,0.1%,5,7,85.1,0.0%,0.0%,"3,642 ",577,0.1,0.1
Not in labor force,"2,548,891","11,162",0.3,36.6%,0.2%,"6,303",751,7.2,30.8%,3.1%,"2,542,588 ","11,187",5.8 ,3.1
,,,,,,,,,,,
Civilian labor force,"4,408,428","10,977",0.2,100.0%,,"14,146","1,037",4.5,100.0%,,"4,394,282 ","11,026",0.0,0.0
Unemployed (percent equivalent to unemployment rate),"337,932","6,401",1.2,7.7%,0.1%,730,241,20.0,5.2%,1.7%,"337,202 ","6,406",2.5 ,1.7
,,,,,,,,,,,
Females 16 years and over,"3,668,464","1,624",0.0,100.0%,,"9,062",708,4.7,100.0%,,"3,659,402 ","1,772",0.0,0.0
In labor force,"2,175,500","6,986",0.2,59.3%,0.2%,"5,691",545,5.8,62.8%,3.5%,"2,169,809 ","7,007",-3.5,3.5
Civilian labor force,"2,174,950","6,996",0.2,59.3%,0.2%,"5,686",545,5.8,62.7%,3.5%,"2,169,264 ","7,017",-3.4,3.5
Employed,"2,016,577","8,179",0.2,55.0%,0.2%,"5,420",526,5.9,59.8%,3.5%,"2,011,157 ","8,196",-4.8 ,3.5
,,,,,,,,,,,
Own children under 6 years,"564,614","3,422",0.4,100.0%,,564,209,22.6,100.0%,,"564,050 ","3,428",0.0,0.0
All parents in family in labor force,"376,161","4,881",0.8,66.6%,0.7%,429,187,26.4,76.1%,17.3%,"375,732 ","4,885",-9.5,17.3
,,,,,,,,,,,
Own children 6 to 17 years,"1,087,217","4,038",0.2,100.0%,,828,441,32.4,100.0%,,"1,086,389 ","4,062",0.0,0.0
All parents in family in labor force,"747,622","6,961",0.6,68.8%,0.5%,269,164,37.1,32.5%,9.6%,"747,353 ","6,963",36.3 ,9.6


Income and Benefits 
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Midtown-Times Square (MN0502),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"12,921",801,3.8,100.0%,,"3,300,395 ","6,010",0.0,0.0
"Household income of less than $10,000","236,747","4,245",1.1,7.1%,0.1%,842,286,20.6,6.5%,2.2%,"235,905 ","4,255",0.6,2.2
"$10,000 to $14,999","172,254","3,882",1.4,5.2%,0.1%,721,251,21.2,5.6%,1.9%,"171,533 ","3,890",-0.4,1.9
"$15,000 to $24,999","232,549","4,678",1.2,7.0%,0.1%,724,240,20.2,5.6%,1.8%,"231,825 ","4,684",1.4,1.8
"$25,000 to $34,999","209,643","4,372",1.3,6.3%,0.1%,659,320,29.5,5.1%,2.5%,"208,984 ","4,384",1.2,2.5
