New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Morningside Heights (MN0901),Morningside Heights (MN0901),Morningside Heights (MN0901),Morningside Heights (MN0901),Morningside Heights (MN0901),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"37,984","1,972",3.2,100.0%,,"8,478,218 ","1,972",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"18,022","1,509",5.1,47.4%,3.1%,"4,070,004 ","1,582",0.6,3.1
Female,"4,428,176",474,0.0,52.0%,0.1%,"19,962","1,143",3.5,52.6%,1.3%,"4,408,214 ","1,237",-0.6,1.3
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"1,188",441,22.6,3.1%,1.2%,"497,045 ",473,2.8 ,1.2
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"1,058",327,18.8,2.8%,0.8%,"461,137 ","4,803",2.6 ,0.8
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,890,324,22.1,2.3%,0.8%,"499,147 ","4,832",3.6 ,0.8
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"5,040",474,5.7,13.3%,1.0%,"453,339 ","1,023",-7.9 ,1.0
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"7,779",717,5.6,20.5%,1.6%,"498,926 ","1,120",-14.6 ,1.6
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"4,804",888,11.2,12.6%,2.2%,"704,797 ",964,-4.3 ,2.2
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"2,266",442,11.8,6.0%,1.1%,"733,040 ",500,2.6 ,1.1
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"2,034",580,17.3,5.4%,1.5%,"620,648 ","5,599",1.9 ,1.5
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"1,494",428,17.4,3.9%,1.1%,"557,524 ","5,587",2.7 ,1.1
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"1,692",430,15.4,4.5%,1.1%,"517,792 ",525,1.6 ,1.1
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"1,514",342,13.7,4.0%,0.9%,"531,320 ",498,2.3 ,0.9
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"1,207",308,15.5,3.2%,0.8%,"538,212 ","5,002",3.1 ,0.8
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"1,503",327,13.2,4.0%,0.8%,"505,011 ","5,019",1.9 ,0.8
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"1,361",375,16.7,3.6%,1.0%,"432,005 ","5,750",1.5 ,1.0
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"1,563",304,11.8,4.1%,0.8%,"351,904 ","4,342",0.1,0.8
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,984,224,13.8,2.6%,0.6%,"237,036 ","3,081",0.2,0.6
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,874,454,31.6,2.3%,1.2%,"167,409 ","3,186",-0.3,1.2
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,733,221,18.3,1.9%,0.6%,"171,926 ","3,252",0.1,0.6
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"3,786",585,9.4,10.0%,1.5%,"1,736,411 ",602,10.4 ,1.5
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"5,515",668,7.4,14.5%,1.6%,"1,360,280 ",724,1.5,1.6
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,28.1,0.7,1.4,,,9.9 ,0.7,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"3,786",585,9.4,100.0%,,"1,736,411 ",602,0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"1,882",429,13.9,49.7%,8.3%,"887,654 ",545,1.4,8.3
Female,"850,661",368,0.0,48.9%,0.0%,"1,904",395,12.6,50.3%,7.0%,"848,757 ",540,-1.4,7.0
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"5,515",668,7.4,100.0%,,"1,360,280 ",724,0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"2,870",598,12.7,52.0%,8.8%,"572,044 ",629,-9.9 ,8.8
Female,"790,881",213,0.0,57.9%,0.1%,"2,645",321,7.4,48.0%,0.3%,"788,236 ",385,9.9 ,0.3


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Morningside Heights (MN0901),Morningside Heights (MN0901),Morningside Heights (MN0901),Morningside Heights (MN0901),Morningside Heights (MN0901),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"7,412",983,8.1,100.0%,,"2,413,127 ",983,0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,"1,105",545,30.0,14.9%,7.1%,"328,163 ","9,190",-1.3,7.1
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,"1,380",414,18.2,18.6%,5.0%,"603,846 ","10,448",6.4 ,5.0
Cuban,"41,793","2,594",3.8,1.7%,0.1%,296,310,63.8,4.0%,4.2%,"41,497 ","2,612",-2.3,4.2
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,"1,941",705,22.1,26.2%,8.9%,"710,305 ","10,564",3.2,8.9
Central American,"181,910","7,173",2.4,7.5%,0.3%,205,139,41.1,2.8%,1.8%,"181,705 ","7,174",4.7 ,1.8
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,0,,,,,,,0.3,0.0
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,145,133,55.9,2.0%,1.8%,"44,387 ","3,445",-0.2,1.8
Honduran,"48,367","3,524",4.4,2.0%,0.1%,14,23,99.9,0.2%,0.3%,"48,353 ","3,524",1.8 ,0.3
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,8,8,60.8,0.1%,0.1%,"10,752 ","1,824",0.3 ,0.1
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,21,27,77.9,0.3%,0.4%,"22,049 ","2,263",0.6 ,0.4
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,17,20,73.1,0.2%,0.3%,"48,852 ","4,311",1.8 ,0.4
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,"1,014",314,18.8,13.7%,3.8%,"405,133 ","9,581",3.1,3.8
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,306,204,40.5,4.1%,2.7%,"16,119 ","1,563",-3.4 ,2.7
Bolivian,"4,058",824,12.3,0.2%,0.0%,0,,,,,,,0.2,0.0
Chilean,"8,691","1,139",8.0,0.4%,0.0%,138,122,53.9,1.9%,1.6%,"8,553 ","1,146",-1.5,1.6
Colombian,"111,194","4,185",2.3,4.6%,0.2%,122,86,42.9,1.6%,1.1%,"111,072 ","4,186",3.0 ,1.1
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,174,128,44.6,2.3%,1.7%,"197,241 ","7,980",5.9 ,1.7
Paraguayan,"3,527",937,16.1,0.1%,0.0%,0,,,,,,,0.1,0.0
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,154,115,45.2,2.1%,1.5%,"40,284 ","2,855",-0.4,1.5
Uruguayan,"3,088",650,12.8,0.1%,0.0%,104,100,58.5,1.4%,1.3%,"2,984 ",658,-1.3,1.3
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,16,26,98.8,0.2%,0.3%,"18,483 ","2,024",0.6 ,0.3
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,"1,471",368,15.2,19.8%,4.2%,"142,478 ","5,671",-13.9 ,4.2
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,351,183,31.7,4.7%,2.4%,"28,853 ","2,619",-3.5 ,2.4
