New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"54,905","3,185",3.5,100.0%,,"8,461,297 ","3,185",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"26,565","2,141",4.9,48.4%,2.7%,"4,061,461 ","2,193",-0.4,2.7
Female,"4,428,176",474,0.0,52.0%,0.1%,"28,340","2,112",4.5,51.6%,2.4%,"4,399,836 ","2,165",0.4,2.4
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"1,545",491,19.3,2.8%,0.9%,"496,688 ",520,3.1 ,0.9
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"1,356",389,17.4,2.5%,0.7%,"460,839 ","4,808",2.9 ,0.7
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"1,388",656,28.7,2.5%,1.2%,"498,649 ","4,865",3.4 ,1.2
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"1,143",262,13.9,2.1%,0.5%,"457,236 ",943,3.3 ,0.5
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"5,649","1,001",10.8,10.3%,1.7%,"501,056 ","1,320",-4.4 ,1.7
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"10,032","1,314",8.0,18.3%,2.1%,"699,569 ","1,367",-10.0 ,2.1
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"7,322",980,8.1,13.3%,1.6%,"727,984 ","1,007",-4.7 ,1.6
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"3,591",773,13.1,6.5%,1.4%,"619,091 ","5,622",0.8,1.4
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"3,541",824,14.1,6.4%,1.5%,"555,477 ","5,632",0.2,1.5
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"3,809",788,12.6,6.9%,1.4%,"515,675 ",844,-0.8,1.4
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"1,862",483,15.8,3.4%,0.9%,"530,972 ",604,2.9 ,0.9
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"1,994",436,13.3,3.6%,0.8%,"537,425 ","5,012",2.7 ,0.8
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"2,399",512,13.0,4.4%,0.9%,"504,115 ","5,034",1.5 ,0.9
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"2,414",721,18.2,4.4%,1.3%,"430,952 ","5,783",0.7,1.3
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"2,320",888,23.3,4.2%,1.6%,"351,147 ","4,421",0.0,1.6
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"1,811",630,21.1,3.3%,1.1%,"236,209 ","3,137",-0.5,1.1
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"1,121",410,22.2,2.0%,0.7%,"167,162 ","3,180",0.0,0.7
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,"1,608",621,23.5,2.9%,1.1%,"171,051 ","3,303",-0.9,1.1
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"4,653",919,12.0,8.5%,1.6%,"1,735,544 ",930,11.9 ,1.6
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"9,274","1,497",9.8,16.9%,2.5%,"1,356,521 ","1,523",-0.9,2.5
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,34.3,0.5,0.9,,,3.7 ,0.5,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"4,653",919,12.0,100.0%,,"1,735,544 ",930,0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"2,759",833,18.3,59.3%,13.5%,"886,777 ",898,-8.2,13.5
Female,"850,661",368,0.0,48.9%,0.0%,"1,894",408,13.1,40.7%,3.5%,"848,767 ",549,8.2 ,3.5
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"9,274","1,497",9.8,100.0%,,"1,356,521 ","1,523",0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"2,989",639,13.0,32.2%,4.5%,"571,925 ",668,9.9 ,4.5
Female,"790,881",213,0.0,57.9%,0.1%,"6,285","1,241",12.0,67.8%,7.7%,"784,596 ","1,259",-9.9 ,7.7


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"5,166","1,052",12.4,100.0%,,"2,415,373 ","1,052",0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,322,145,27.4,6.2%,2.5%,"328,946 ","9,175",7.4 ,2.5
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,"1,680",760,27.5,32.5%,13.1%,"603,546 ","10,468",-7.5,13.1
Cuban,"41,793","2,594",3.8,1.7%,0.1%,391,300,46.6,7.6%,5.6%,"41,402 ","2,611",-5.9 ,5.6
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,437,265,36.9,8.5%,4.8%,"711,809 ","10,543",20.9 ,4.8
Central American,"181,910","7,173",2.4,7.5%,0.3%,403,257,38.8,7.8%,4.7%,"181,507 ","7,178",-0.3,4.7
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,109,143,79.7,2.1%,2.7%,"6,523 ","1,054",-1.8,2.7
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,64,116,110.2,1.2%,2.2%,"44,468 ","3,444",0.6,2.2
Honduran,"48,367","3,524",4.4,2.0%,0.1%,10,17,103.3,0.2%,0.3%,"48,357 ","3,524",1.8 ,0.3
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,44,56,78.0,0.9%,1.1%,"10,716 ","1,825",-0.5,1.1
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,127,158,75.4,2.5%,3.0%,"21,943 ","2,269",-1.6,3.0
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,49,60,74.2,0.9%,1.1%,"48,820 ","4,311",1.1,1.1
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,"1,001",383,23.3,19.4%,6.3%,"405,146 ","9,584",-2.6,6.3
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,274,194,43.0,5.3%,3.6%,"16,151 ","1,562",-4.6 ,3.6
Bolivian,"4,058",824,12.3,0.2%,0.0%,0,,,,,,,0.2,0.0
Chilean,"8,691","1,139",8.0,0.4%,0.0%,85,105,75.1,1.6%,2.0%,"8,606 ","1,144",-1.2,2.0
Colombian,"111,194","4,185",2.3,4.6%,0.2%,383,264,41.9,7.4%,4.9%,"110,811 ","4,193",-2.8,4.9
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,106,110,63.4,2.1%,2.1%,"197,309 ","7,980",6.1 ,2.1
Paraguayan,"3,527",937,16.1,0.1%,0.0%,0,,,,,,,0.1,0.0
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,98,88,54.8,1.9%,1.7%,"40,340 ","2,854",-0.2,1.7
Uruguayan,"3,088",650,12.8,0.1%,0.0%,0,,,,,,,0.1,0.0
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,55,88,97.4,1.1%,1.7%,"18,444 ","2,026",-0.3,1.7
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,932,375,24.4,18.0%,6.3%,"143,017 ","5,671",-12.1 ,6.3
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,431,326,46.0,8.3%,6.1%,"28,773 ","2,633",-7.1 ,6.1
Spanish,"15,999","1,957",7.4,0.7%,0.1%,124,125,61.1,2.4%,2.4%,"15,875 ","1,961",-1.7,2.4
Spanish American,642,265,25.1,0.0%,0.0%,0,,,,,,,0.0,0.0
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,377,179,28.9,7.3%,3.1%,"97,727 ","4,335",-3.2 ,3.1


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"30,799","1,535",3.0,100.0%,,"3,282,517 ","6,151",0.0,0.0
Family households (families),"1,928,865","9,723",0.3,58.2%,0.3%,"9,014","1,213",8.2,29.3%,3.7%,"1,919,851 ","9,798",28.9 ,3.7
With own children under 18 years,"764,350","7,647",0.6,23.1%,0.2%,"2,577",534,12.6,8.4%,1.7%,"761,773 ","7,666",14.7 ,1.7
Married-couple family,"1,181,568","8,786",0.5,35.7%,0.3%,"7,261","1,019",8.5,23.6%,3.1%,"1,174,307 ","8,845",12.1 ,3.1
With own children under 18 years,"475,842","6,019",0.8,14.4%,0.2%,"2,210",503,13.8,7.2%,1.6%,"473,632 ","6,040",7.2 ,1.6
"Male householder, no spouse present, family","187,202","3,793",1.2,5.6%,0.1%,375,236,38.3,1.2%,0.8%,"186,827 ","3,800",4.4 ,0.8
With own children under 18 years,"56,524","2,408",2.6,1.7%,0.1%,74,66,54.5,0.2%,0.2%,"56,450 ","2,409",1.5 ,0.2
"Female householder, no spouse present, family","560,095","5,913",0.6,16.9%,0.2%,"1,378",594,26.2,4.5%,1.9%,"558,717 ","5,943",12.4 ,1.9
With own children under 18 years,"231,984","4,055",1.1,7.0%,0.1%,293,167,34.5,1.0%,0.5%,"231,691 ","4,058",6.0 ,0.5
Nonfamily households,"1,384,451","8,816",0.4,41.8%,0.3%,"21,785","1,338",3.7,70.7%,2.5%,"1,362,666 ","8,917",-28.9 ,2.5
Householder living alone,"1,105,579","8,546",0.5,33.4%,0.3%,"17,114","1,383",4.9,55.6%,3.5%,"1,088,465 ","8,657",-22.2 ,3.5
65 years and over,"402,938","4,766",0.7,12.2%,0.1%,"4,678",921,12.0,15.2%,2.9%,"398,260 ","4,854",-3.0 ,2.9
,,,,,,,,,,,
Households with one or more people under 18 years,"886,906","7,789",0.5,26.8%,0.2%,"2,699",503,11.3,8.8%,1.6%,"884,207 ","7,805",18.0 ,1.6
Households with one or more people 65 years and over,"1,031,541","4,324",0.3,31.1%,0.1%,"7,429","1,157",9.5,24.1%,3.6%,"1,024,112 ","4,476",7.0 ,3.6
,,,,,,,,,,,
Average household size ,2.51,0.01,0.2,,,1.70,0.13,4.8,,,0.81 ,0.13,,
Average family size ,3.27,0.01,0.2,,,2.58,0.49,11.5,,,0.69 ,0.49,,
,,,,,,,,,,,


Employment Status
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Murray Hill-Kips Bay (MN0603),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Population 16 years and over,"6,960,966","2,408",0.0,100.0%,,"50,375","2,801",3.4,100.0%,,"6,910,591 ","3,694",0.0,0.0
In labor force,"4,412,075","10,974",0.2,63.4%,0.2%,"37,378","2,086",3.4,74.2%,0.3%,"4,374,697 ","11,171",-10.8 ,0.4
Civilian labor force,"4,408,428","10,977",0.2,63.3%,0.2%,"37,378","2,086",3.4,74.2%,0.3%,"4,371,050 ","11,173",-10.9 ,0.4
Employed,"4,070,496","12,696",0.2,58.5%,0.2%,"36,180","2,009",3.4,71.8%,5.6%,"4,034,316 ","12,854",-13.3 ,5.6
Unemployed,"337,932","6,401",1.2,4.9%,0.1%,"1,198",451,22.9,2.4%,0.9%,"336,734 ","6,417",2.5 ,0.9
Armed Forces,"3,647",577,9.6,0.1%,0.1%,0,,,,,,,0.1,0.1
Not in labor force,"2,548,891","11,162",0.3,36.6%,0.2%,"12,997","1,736",8.1,25.8%,3.1%,"2,535,894 ","11,296",10.8 ,3.1
,,,,,,,,,,,
Civilian labor force,"4,408,428","10,977",0.2,100.0%,,"37,378","2,086",3.4,100.0%,,"4,371,050 ","11,173",0.0,0.0
Unemployed (percent equivalent to unemployment rate),"337,932","6,401",1.2,7.7%,0.1%,"1,198",451,22.9,3.2%,1.2%,"336,734 ","6,417",4.5 ,1.2
,,,,,,,,,,,
