New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,SoHo-Little Italy-Hudson Square (MN0201),SoHo-Little Italy-Hudson Square (MN0201),SoHo-Little Italy-Hudson Square (MN0201),SoHo-Little Italy-Hudson Square (MN0201),SoHo-Little Italy-Hudson Square (MN0201),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"22,167","1,991",5.5,100.0%,,"8,494,035 ","1,991",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"10,120","1,133",6.8,45.7%,3.1%,"4,077,906 ","1,228",2.3,3.1
Female,"4,428,176",474,0.0,52.0%,0.1%,"12,047","1,268",6.4,54.3%,3.0%,"4,416,129 ","1,354",-2.3,3.0
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,606,161,16.2,2.7%,0.7%,"497,627 ",236,3.2 ,0.7
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,423,146,21.0,1.9%,0.6%,"461,772 ","4,794",3.5 ,0.6
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"1,007",475,28.7,4.5%,2.1%,"499,030 ","4,844",1.4,2.1
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,507,199,23.9,2.3%,0.9%,"457,872 ",928,3.1 ,0.9
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"1,891",455,14.6,8.5%,1.9%,"504,814 ",973,-2.6 ,1.9
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"2,968",493,10.1,13.4%,1.9%,"706,633 ",620,-5.1 ,1.9
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"2,217",493,13.5,10.0%,2.0%,"733,089 ",545,-1.4,2.0
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"1,711",608,21.6,7.7%,2.7%,"620,971 ","5,602",-0.4,2.7
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"1,665",627,22.9,7.5%,2.7%,"557,353 ","5,606",-0.9,2.7
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"1,479",381,15.7,6.7%,1.6%,"518,005 ",486,-0.6,1.6
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"2,080",708,20.7,9.4%,3.1%,"530,754 ",795,-3.1,3.1
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,924,269,17.7,4.2%,1.2%,"538,495 ","5,000",2.1 ,1.2
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,856,244,17.3,3.9%,1.0%,"505,658 ","5,014",2.0 ,1.0
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"1,226",358,17.8,5.5%,1.5%,"432,140 ","5,749",-0.4,1.5
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"1,155",276,14.5,5.2%,1.2%,"352,312 ","4,340",-1.0,1.2
