New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Stuyvesant Town-Peter Cooper Village (MN0601),Stuyvesant Town-Peter Cooper Village (MN0601),Stuyvesant Town-Peter Cooper Village (MN0601),Stuyvesant Town-Peter Cooper Village (MN0601),Stuyvesant Town-Peter Cooper Village (MN0601),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"21,963","2,173",6.0,100.0%,,"8,494,239 ","2,173",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"11,417","1,483",7.9,52.0%,4.4%,"4,076,609 ","1,557",-4.0,4.4
Female,"4,428,176",474,0.0,52.0%,0.1%,"10,546","1,495",8.6,48.0%,4.9%,"4,417,630 ","1,568",4.0,4.9
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,707,374,32.2,3.2%,1.7%,"497,526 ",412,2.7 ,1.7
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"1,380",626,27.6,6.3%,2.8%,"460,815 ","4,833",-0.9,2.8
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,390,176,27.4,1.8%,0.8%,"499,647 ","4,824",4.1 ,0.8
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,454,358,47.9,2.1%,1.6%,"457,925 ",974,3.3 ,1.6
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"1,123",458,24.8,5.1%,2.0%,"505,582 ",974,0.8,2.0
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"3,176","1,102",21.1,14.5%,4.8%,"706,425 ","1,164",-6.2 ,4.8
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"2,219",744,20.4,10.1%,3.2%,"733,087 ",780,-1.5,3.2
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"1,658",547,20.0,7.5%,2.4%,"621,024 ","5,596",-0.2,2.4
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"1,532",680,27.0,7.0%,3.0%,"557,486 ","5,612",-0.4,3.0
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"1,376",579,25.6,6.3%,2.6%,"518,108 ",653,-0.2,2.6
