New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"23,257","1,609",4.2,100.0%,,"8,492,945 ","1,609",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"11,349","1,113",6.0,48.8%,3.4%,"4,076,677 ","1,210",-0.8,3.4
Female,"4,428,176",474,0.0,52.0%,0.1%,"11,908","1,049",5.4,51.2%,2.8%,"4,416,268 ","1,151",0.8,2.8
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"1,348",301,13.6,5.8%,1.2%,"496,885 ",347,0.1,1.2
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"1,300",303,14.2,5.6%,1.2%,"460,895 ","4,802",-0.2,1.2
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,971,376,23.6,4.2%,1.6%,"499,066 ","4,836",1.7 ,1.6
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,887,268,18.4,3.8%,1.1%,"457,492 ",945,1.6 ,1.1
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"1,866",477,15.5,8.0%,2.0%,"504,839 ",983,-2.1 ,2.0
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"2,299",580,15.3,9.9%,2.4%,"707,302 ",691,-1.6,2.4
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"2,056",412,12.2,8.8%,1.7%,"733,250 ",473,-0.2,1.7
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"2,468",468,11.5,10.6%,1.9%,"620,214 ","5,589",-3.3 ,1.9
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"1,876",646,20.9,8.1%,2.7%,"557,142 ","5,608",-1.5,2.7
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"1,940",556,17.4,8.3%,2.3%,"517,544 ",632,-2.2,2.3
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"1,615",349,13.2,6.9%,1.4%,"531,219 ",503,-0.6,1.4
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"1,103",387,21.3,4.7%,1.6%,"538,316 ","5,008",1.6,1.6
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,688,212,18.7,3.0%,0.9%,"505,826 ","5,012",2.9 ,0.9
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"1,001",261,15.9,4.3%,1.1%,"432,365 ","5,744",0.8,1.1
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,501,159,19.3,2.2%,0.7%,"352,966 ","4,334",2.0 ,0.7
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,589,461,47.6,2.5%,2.0%,"237,431 ","3,107",0.3,2.0
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,566,431,46.3,2.4%,1.8%,"167,717 ","3,182",-0.4,1.8
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,183,100,33.2,0.8%,0.4%,"172,476 ","3,246",1.2 ,0.4
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"4,113",560,8.3,17.7%,2.1%,"1,736,084 ",577,2.7 ,2.1
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"2,840",926,19.8,12.2%,3.9%,"1,362,955 ",967,3.8,3.9
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,36.8,1.0,1.7,,,1.2 ,1.0,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"4,113",560,8.3,100.0%,,"1,736,084 ",577,0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"1,788",306,10.4,43.5%,4.5%,"887,748 ",454,7.6 ,4.5
Female,"850,661",368,0.0,48.9%,0.0%,"2,325",469,12.3,56.5%,8.4%,"848,336 ",596,-7.6,8.4
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"2,840",926,19.8,100.0%,,"1,362,955 ",967,0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"1,390",483,21.1,48.9%,5.9%,"573,524 ",521,-6.8 ,5.9
Female,"790,881",213,0.0,57.9%,0.1%,"1,450",517,21.7,51.1%,7.4%,"789,431 ",559,6.8,7.4


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"2,777",748,16.4,100.0%,,"2,417,762 ",748,0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,332,202,37.0,12.0%,6.5%,"328,936 ","9,176",1.6,6.5
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,137,80,35.6,4.9%,2.6%,"605,089 ","10,440",20.1 ,2.6
Cuban,"41,793","2,594",3.8,1.7%,0.1%,182,160,53.4,6.6%,5.5%,"41,611 ","2,599",-4.9,5.5
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,222,181,49.6,8.0%,6.2%,"712,024 ","10,542",21.4 ,6.2
Central American,"181,910","7,173",2.4,7.5%,0.3%,764,636,50.6,27.5%,21.7%,"181,146 ","7,201",-20.0,21.7
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,6,9,91.2,0.2%,0.3%,"6,626 ","1,044",0.1,0.3
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,0,,,,,,,1.8,0.1
Honduran,"48,367","3,524",4.4,2.0%,0.1%,464,476,62.3,16.7%,16.5%,"47,903 ","3,556",-14.7,16.5
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,99,116,71.2,3.6%,4.1%,"10,661 ","1,828",-3.2,4.1
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,166,231,84.5,6.0%,8.2%,"21,904 ","2,275",-5.1,8.2
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,29,45,94.3,1.0%,1.6%,"48,840 ","4,311",1.0,1.6
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,449,344,46.5,16.2%,11.6%,"405,698 ","9,582",0.6,11.6
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,178,188,64.1,6.4%,6.5%,"16,247 ","1,561",-5.7,6.5
Bolivian,"4,058",824,12.3,0.2%,0.0%,191,283,90.1,6.9%,10.0%,"3,867 ",871,-6.7,10.0
Chilean,"8,691","1,139",8.0,0.4%,0.0%,0,,,,,,,0.4,0.0
Colombian,"111,194","4,185",2.3,4.6%,0.2%,40,45,68.0,1.4%,1.6%,"111,154 ","4,185",3.2 ,1.6
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,0,,,,,,,8.2,0.3
Paraguayan,"3,527",937,16.1,0.1%,0.0%,0,,,,,,,0.1,0.0
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,0,,,,,,,1.7,0.1
Uruguayan,"3,088",650,12.8,0.1%,0.0%,0,,,,,,,0.1,0.0
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,40,46,69.6,1.4%,1.6%,"18,459 ","2,025",-0.6,1.6
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,691,150,13.2,24.9%,8.6%,"143,258 ","5,661",-19.0 ,8.6
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,57,67,71.5,2.1%,2.4%,"29,147 ","2,614",-0.9,2.4
Spanish,"15,999","1,957",7.4,0.7%,0.1%,19,33,105.6,0.7%,1.2%,"15,980 ","1,957",0.0,1.2
Spanish American,642,265,25.1,0.0%,0.0%,0,,,,,,,0.0,0.0
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,615,143,14.2,22.1%,7.9%,"97,489 ","4,333",-18.0 ,7.9


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"9,667",901,5.7,100.0%,,"3,303,649 ","6,024",0.0,0.0
Family households (families),"1,928,865","9,723",0.3,58.2%,0.3%,"5,258",849,9.8,54.4%,7.2%,"1,923,607 ","9,760",3.8,7.2
With own children under 18 years,"764,350","7,647",0.6,23.1%,0.2%,"2,613",629,14.6,27.0%,6.0%,"761,737 ","7,673",-3.9,6.0
Married-couple family,"1,181,568","8,786",0.5,35.7%,0.3%,"4,516",841,11.3,46.7%,7.5%,"1,177,052 ","8,826",-11.0 ,7.5
With own children under 18 years,"475,842","6,019",0.8,14.4%,0.2%,"2,151",600,17.0,22.3%,5.8%,"473,691 ","6,049",-7.9 ,5.8
"Male householder, no spouse present, family","187,202","3,793",1.2,5.6%,0.1%,207,127,37.2,2.1%,1.3%,"186,995 ","3,795",3.5 ,1.3
With own children under 18 years,"56,524","2,408",2.6,1.7%,0.1%,126,72,34.6,1.3%,0.7%,"56,398 ","2,409",0.4,0.7
"Female householder, no spouse present, family","560,095","5,913",0.6,16.9%,0.2%,535,215,24.5,5.5%,2.2%,"559,560 ","5,917",11.4 ,2.2
With own children under 18 years,"231,984","4,055",1.1,7.0%,0.1%,336,175,31.6,3.5%,1.8%,"231,648 ","4,059",3.5 ,1.8
Nonfamily households,"1,384,451","8,816",0.4,41.8%,0.3%,"4,409",476,6.6,45.6%,2.5%,"1,380,042 ","8,829",-3.8 ,2.5
Householder living alone,"1,105,579","8,546",0.5,33.4%,0.3%,"3,063",464,9.2,31.7%,3.8%,"1,102,516 ","8,559",1.7,3.8
65 years and over,"402,938","4,766",0.7,12.2%,0.1%,669,195,17.7,6.9%,1.9%,"402,269 ","4,770",5.3 ,1.9
,,,,,,,,,,,
Households with one or more people under 18 years,"886,906","7,789",0.5,26.8%,0.2%,"2,635",617,14.2,27.3%,5.9%,"884,271 ","7,813",-0.5,5.9
Households with one or more people 65 years and over,"1,031,541","4,324",0.3,31.1%,0.1%,"1,952",505,15.7,20.2%,4.9%,"1,029,589 ","4,353",10.9 ,4.9
,,,,,,,,,,,
Average household size ,2.51,0.01,0.2,,,2.20,0.26,7.3,,,0.31 ,0.26,,
Average family size ,3.27,0.01,0.2,,,2.76,0.56,12.4,,,0.51,0.56,,
,,,,,,,,,,,


Employment Status
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Population 16 years and over,"6,960,966","2,408",0.0,100.0%,,"19,520","1,527",4.8,100.0%,,"6,941,446 ","2,851",0.0,0.0
In labor force,"4,412,075","10,974",0.2,63.4%,0.2%,"13,823","1,138",5.0,70.8%,1.8%,"4,398,252 ","11,033",-7.4 ,1.8
Civilian labor force,"4,408,428","10,977",0.2,63.3%,0.2%,"13,823","1,138",5.0,70.8%,1.8%,"4,394,605 ","11,036",-7.5 ,1.8
Employed,"4,070,496","12,696",0.2,58.5%,0.2%,"13,453","1,149",5.2,68.9%,2.4%,"4,057,043 ","12,748",-10.4 ,2.4
Unemployed,"337,932","6,401",1.2,4.9%,0.1%,370,167,27.5,1.9%,0.8%,"337,562 ","6,403",3.0 ,0.8
Armed Forces,"3,647",577,9.6,0.1%,0.1%,0,,,,,,,0.1,0.1
Not in labor force,"2,548,891","11,162",0.3,36.6%,0.2%,"5,697","1,058",11.3,29.2%,4.9%,"2,543,194 ","11,212",7.4 ,4.9
,,,,,,,,,,,
Civilian labor force,"4,408,428","10,977",0.2,100.0%,,"13,823","1,138",5.0,100.0%,,"4,394,605 ","11,036",0.0,0.0
Unemployed (percent equivalent to unemployment rate),"337,932","6,401",1.2,7.7%,0.1%,370,167,27.5,2.7%,1.2%,"337,562 ","6,403",5.0 ,1.2
,,,,,,,,,,,
Females 16 years and over,"3,668,464","1,624",0.0,100.0%,,"9,798",944,5.9,100.0%,,"3,658,666 ","1,878",0.0,0.0
In labor force,"2,175,500","6,986",0.2,59.3%,0.2%,"6,684",691,6.3,68.2%,2.6%,"2,168,816 ","7,020",-8.9 ,2.6
Civilian labor force,"2,174,950","6,996",0.2,59.3%,0.2%,"6,684",691,6.3,68.2%,2.6%,"2,168,266 ","7,030",-8.9 ,2.6
Employed,"2,016,577","8,179",0.2,55.0%,0.2%,"6,387",704,6.7,65.2%,3.5%,"2,010,190 ","8,209",-10.2 ,3.5
,,,,,,,,,,,
Own children under 6 years,"564,614","3,422",0.4,100.0%,,"1,767",300,10.3,100.0%,,"562,847 ","3,435",0.0,0.0
All parents in family in labor force,"376,161","4,881",0.8,66.6%,0.7%,"1,326",325,14.9,75.0%,13.3%,"374,835 ","4,892",-8.4,13.3
,,,,,,,,,,,
Own children 6 to 17 years,"1,087,217","4,038",0.2,100.0%,,"2,311",522,13.7,100.0%,,"1,084,906 ","4,072",0.0,0.0
All parents in family in labor force,"747,622","6,961",0.6,68.8%,0.5%,"1,632",380,14.1,70.6%,4.0%,"745,990 ","6,971",-1.8,4.0


Income and Benefits 
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Tribeca-Civic Center (MN0102),Difference,Difference,Difference,Difference
