New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Upper East Side-Carnegie Hill (MN0802),Upper East Side-Carnegie Hill (MN0802),Upper East Side-Carnegie Hill (MN0802),Upper East Side-Carnegie Hill (MN0802),Upper East Side-Carnegie Hill (MN0802),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"54,062","2,580",2.9,100.0%,,"8,462,140 ","2,580",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"24,227","1,576",4.0,44.8%,2.0%,"4,063,799 ","1,646",3.2 ,2.0
Female,"4,428,176",474,0.0,52.0%,0.1%,"29,835","1,458",3.0,55.2%,0.6%,"4,398,341 ","1,533",-3.2 ,0.6
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"2,125",505,14.5,3.9%,0.9%,"496,108 ",533,2.0 ,0.9
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"2,124",404,11.6,3.9%,0.7%,"460,071 ","4,809",1.5 ,0.7
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"3,210",510,9.7,5.9%,0.9%,"496,827 ","4,848",0.0,0.9
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"2,136",404,11.5,4.0%,0.7%,"456,243 ",992,1.4 ,0.7
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"1,754",449,15.5,3.2%,0.8%,"504,951 ",970,2.7 ,0.8
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"3,096",620,12.2,5.7%,1.1%,"706,505 ",725,2.6 ,1.1
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"3,249",532,9.9,6.0%,0.9%,"732,057 ",581,2.6 ,0.9
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"3,050",545,10.9,5.6%,1.0%,"619,632 ","5,596",1.7 ,1.0
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"2,926",458,9.5,5.4%,0.8%,"556,092 ","5,590",1.2 ,0.8
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"3,351",444,8.1,6.2%,0.8%,"516,133 ",536,-0.1,0.8
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"3,759",553,8.9,7.0%,1.0%,"529,075 ",661,-0.7,1.0
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"3,546",636,10.9,6.6%,1.1%,"535,873 ","5,033",-0.3,1.1
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"3,448",562,9.9,6.4%,1.0%,"503,066 ","5,039",-0.5,1.0
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"2,970",383,7.8,5.5%,0.7%,"430,396 ","5,751",-0.4,0.7
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"3,922",585,9.1,7.3%,1.0%,"349,545 ","4,370",-3.1 ,1.0
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"3,693",490,8.1,6.8%,0.8%,"234,327 ","3,112",-4.0 ,0.8
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"2,880",445,9.4,5.3%,0.8%,"165,403 ","3,184",-3.3 ,0.8
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,"2,823",456,9.8,5.2%,0.8%,"169,836 ","3,276",-3.2 ,0.8
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"9,006",965,6.5,16.7%,1.6%,"1,731,191 ",975,3.7 ,1.6
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"16,288","1,137",4.2,30.1%,1.5%,"1,349,507 ","1,171",-14.1 ,1.5
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,50.0,1.1,1.3,,,-12.0 ,1.1,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"9,006",965,6.5,100.0%,,"1,731,191 ",975,0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"4,323",693,9.7,48.0%,5.7%,"885,213 ",770,3.1,5.7
Female,"850,661",368,0.0,48.9%,0.0%,"4,683",584,7.6,52.0%,3.3%,"845,978 ",690,-3.1,3.3
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"16,288","1,137",4.2,100.0%,,"1,349,507 ","1,171",0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"6,737",632,5.7,41.4%,2.6%,"568,177 ",661,0.7,2.6
Female,"790,881",213,0.0,57.9%,0.1%,"9,551",752,4.8,58.6%,2.1%,"781,330 ",782,-0.7,2.1


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Upper East Side-Carnegie Hill (MN0802),Upper East Side-Carnegie Hill (MN0802),Upper East Side-Carnegie Hill (MN0802),Upper East Side-Carnegie Hill (MN0802),Upper East Side-Carnegie Hill (MN0802),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"4,333","1,116",15.7,100.0%,,"2,416,206 ","1,116",0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,559,264,28.7,12.9%,5.1%,"328,709 ","9,178",0.7,5.1
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,559,285,31.0,12.9%,5.7%,"604,667 ","10,444",12.1 ,5.7
Cuban,"41,793","2,594",3.8,1.7%,0.1%,464,245,32.1,10.7%,4.9%,"41,329 ","2,606",-9.0 ,4.9
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,571,388,41.3,13.2%,8.3%,"711,675 ","10,547",16.2 ,8.3
Central American,"181,910","7,173",2.4,7.5%,0.3%,503,522,63.1,11.6%,11.7%,"181,407 ","7,192",-4.1,11.7
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,11,19,105.0,0.3%,0.4%,"6,621 ","1,044",0.0,0.4
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,40,61,92.7,0.9%,1.4%,"44,492 ","3,443",0.9,1.4
Honduran,"48,367","3,524",4.4,2.0%,0.1%,6,9,91.2,0.1%,0.2%,"48,361 ","3,524",1.9 ,0.2
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,415,513,75.1,9.6%,11.6%,"10,345 ","1,895",-9.2,11.6
