New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"79,296","3,648",2.8,100.0%,,"8,436,906 ","3,648",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"34,859","2,171",3.8,44.0%,1.8%,"4,053,167 ","2,222",4.0 ,1.8
Female,"4,428,176",474,0.0,52.0%,0.1%,"44,437","2,413",3.3,56.0%,1.6%,"4,383,739 ","2,459",-4.0 ,1.6
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"4,682",875,11.4,5.9%,1.1%,"493,551 ",892,0.0,1.1
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"2,485",595,14.6,3.1%,0.7%,"459,710 ","4,829",2.3 ,0.7
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"3,148",643,12.4,4.0%,0.8%,"496,889 ","4,864",1.9 ,0.8
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"2,922",742,15.4,3.7%,0.9%,"455,457 ","1,171",1.7 ,0.9
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"3,547","1,083",18.6,4.5%,1.4%,"503,158 ","1,383",1.4,1.4
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"8,076","1,117",8.4,10.2%,1.3%,"701,525 ","1,179",-1.9 ,1.3
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"11,007","1,193",6.6,13.9%,1.4%,"724,299 ","1,216",-5.3 ,1.4
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"6,526",860,8.0,8.2%,1.0%,"616,156 ","5,635",-0.9,1.0
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"4,827",772,9.7,6.1%,0.9%,"554,191 ","5,624",0.5,0.9
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"4,137",746,11.0,5.2%,0.9%,"515,347 ",804,0.9,0.9
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"5,337","1,056",12.0,6.7%,1.3%,"527,497 ","1,116",-0.4,1.3
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"3,643",741,12.4,4.6%,0.9%,"535,776 ","5,048",1.7 ,0.9
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"4,099",765,11.4,5.2%,0.9%,"502,415 ","5,066",0.7,0.9
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"3,657",703,11.7,4.6%,0.9%,"429,709 ","5,781",0.5,0.9
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"3,149",569,11.0,4.0%,0.7%,"350,318 ","4,368",0.2,0.7
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"2,666",567,12.9,3.4%,0.7%,"235,354 ","3,125",-0.6,0.7
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"2,989",766,15.6,3.8%,0.9%,"165,294 ","3,245",-1.8 ,0.9
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,"2,399",672,17.0,3.0%,0.8%,"170,260 ","3,313",-1.0 ,0.8
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"12,510","1,377",6.7,15.8%,1.6%,"1,727,687 ","1,384",4.6 ,1.6
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"14,860","1,405",5.7,18.7%,1.5%,"1,350,935 ","1,433",-2.7 ,1.5
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,37.9,0.7,1.1,,,0.1,0.7,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"12,510","1,377",6.7,100.0%,,"1,727,687 ","1,384",0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"5,927",939,9.6,47.4%,5.4%,"883,609 ",997,3.7,5.4
Female,"850,661",368,0.0,48.9%,0.0%,"6,583","1,017",9.4,52.6%,5.7%,"844,078 ","1,082",-3.7,5.7
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"14,860","1,405",5.7,100.0%,,"1,350,935 ","1,433",0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"5,709",739,7.9,38.4%,3.4%,"569,205 ",764,3.7 ,3.4
Female,"790,881",213,0.0,57.9%,0.1%,"9,151","1,077",7.2,61.6%,4.3%,"781,730 ","1,098",-3.7,4.3


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"7,081","1,391",11.9,100.0%,,"2,413,458 ","1,391",0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,874,444,30.9,12.3%,5.8%,"328,394 ","9,185",1.3,5.8
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,930,385,25.2,13.1%,4.8%,"604,296 ","10,447",11.9 ,4.8
Cuban,"41,793","2,594",3.8,1.7%,0.1%,354,203,34.9,5.0%,2.7%,"41,439 ","2,602",-3.3 ,2.7
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,801,580,44.0,11.3%,7.9%,"711,445 ","10,556",18.1 ,7.9
Central American,"181,910","7,173",2.4,7.5%,0.3%,617,381,37.5,8.7%,5.1%,"181,293 ","7,183",-1.2,5.1
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,127,124,59.4,1.8%,1.7%,"6,505 ","1,051",-1.5,1.7
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,14,18,77.3,0.2%,0.2%,"44,518 ","3,442",1.6 ,0.2
Honduran,"48,367","3,524",4.4,2.0%,0.1%,55,67,74.3,0.8%,0.9%,"48,312 ","3,525",1.2 ,0.9
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,1,4,243.2,0.0%,0.1%,"10,759 ","1,824",0.4 ,0.1
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,204,217,64.6,2.9%,3.0%,"21,866 ","2,273",-2.0,3.0
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,216,283,79.7,3.1%,4.0%,"48,653 ","4,320",-1.1,4.0
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,"2,134",658,18.7,30.1%,7.2%,"404,013 ","9,599",-13.3 ,7.2
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,"1,091",596,33.2,15.4%,7.9%,"15,334 ","1,661",-14.7 ,7.9
Bolivian,"4,058",824,12.3,0.2%,0.0%,0,,,,,,,0.2,0.0
Chilean,"8,691","1,139",8.0,0.4%,0.0%,42,60,87.4,0.6%,0.8%,"8,649 ","1,141",-0.2,0.8
Colombian,"111,194","4,185",2.3,4.6%,0.2%,502,225,27.3,7.1%,2.9%,"110,692 ","4,191",-2.5,2.9
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,211,161,46.5,3.0%,2.2%,"197,204 ","7,981",5.2 ,2.2
Paraguayan,"3,527",937,16.1,0.1%,0.0%,10,26,158.1,0.1%,0.4%,"3,517 ",937,0.0,0.4
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,84,82,59.7,1.2%,1.1%,"40,354 ","2,854",0.5,1.1
Uruguayan,"3,088",650,12.8,0.1%,0.0%,0,,,,,,,0.1,0.0
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,103,104,61.5,1.5%,1.4%,"18,396 ","2,027",-0.7,1.4
Other South American,"2,812",713,15.4,0.1%,0.0%,91,100,66.7,1.3%,1.4%,"2,721 ",720,-1.2,1.4
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,"1,371",496,22.0,19.4%,5.9%,"142,578 ","5,681",-13.5 ,5.9
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,442,362,49.8,6.2%,5.0%,"28,762 ","2,638",-5.0,5.0
Spanish,"15,999","1,957",7.4,0.7%,0.1%,210,155,44.9,3.0%,2.1%,"15,789 ","1,963",-2.3 ,2.1
Spanish American,642,265,25.1,0.0%,0.0%,0,,,,,,,0.0,0.0
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,719,402,34.0,10.2%,5.3%,"97,385 ","4,350",-6.1 ,5.3


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Upper East Side-Lenox Hill-Roosevelt Island (MN0801),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"41,398","1,725",2.5,100.0%,,"3,271,918 ","6,201",0.0,0.0
Family households (families),"1,928,865","9,723",0.3,58.2%,0.3%,"17,476","1,380",4.8,42.2%,2.8%,"1,911,389 ","9,820",16.0 ,2.8
With own children under 18 years,"764,350","7,647",0.6,23.1%,0.2%,"8,166","1,038",7.7,19.7%,2.4%,"756,184 ","7,717",3.4 ,2.4
Married-couple family,"1,181,568","8,786",0.5,35.7%,0.3%,"15,494","1,325",5.2,37.4%,2.8%,"1,166,074 ","8,885",-1.7,2.8
With own children under 18 years,"475,842","6,019",0.8,14.4%,0.2%,"7,045",941,8.1,17.0%,2.2%,"468,797 ","6,092",-2.6 ,2.2
"Male householder, no spouse present, family","187,202","3,793",1.2,5.6%,0.1%,404,203,30.5,1.0%,0.5%,"186,798 ","3,798",4.6 ,0.5
With own children under 18 years,"56,524","2,408",2.6,1.7%,0.1%,188,131,42.5,0.5%,0.3%,"56,336 ","2,412",1.2 ,0.3
"Female householder, no spouse present, family","560,095","5,913",0.6,16.9%,0.2%,"1,578",509,19.6,3.8%,1.2%,"558,517 ","5,935",13.1 ,1.2
