New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Upper East Side-Yorkville (MN0803),Upper East Side-Yorkville (MN0803),Upper East Side-Yorkville (MN0803),Upper East Side-Yorkville (MN0803),Upper East Side-Yorkville (MN0803),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"78,950","4,161",3.2,100.0%,,"8,437,252 ","4,161",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"34,726","2,481",4.3,44.0%,2.1%,"4,053,300 ","2,526",4.0 ,2.1
Female,"4,428,176",474,0.0,52.0%,0.1%,"44,224","2,704",3.7,56.0%,1.7%,"4,383,952 ","2,745",-4.0 ,1.7
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"3,395",817,14.6,4.3%,1.0%,"494,838 ",835,1.6 ,1.0
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"2,892",734,15.4,3.7%,0.9%,"459,303 ","4,848",1.7 ,0.9
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"1,959",476,14.8,2.5%,0.6%,"498,078 ","4,844",3.4 ,0.6
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"2,360",520,13.4,3.0%,0.6%,"456,019 ","1,045",2.4 ,0.6
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"2,964",673,13.8,3.8%,0.8%,"503,741 ","1,092",2.1 ,0.8
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"8,707","1,073",7.5,11.0%,1.2%,"700,894 ","1,137",-2.7 ,1.2
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"7,988","1,014",7.7,10.1%,1.2%,"727,318 ","1,040",-1.5 ,1.2
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"7,066","1,139",9.8,8.9%,1.4%,"615,616 ","5,684",-1.6 ,1.4
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"4,857",890,11.1,6.2%,1.1%,"554,161 ","5,642",0.4,1.1
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"3,901",751,11.7,4.9%,0.9%,"515,583 ",809,1.2 ,0.9
