New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Upper West Side (Central) (MN0702),Upper West Side (Central) (MN0702),Upper West Side (Central) (MN0702),Upper West Side (Central) (MN0702),Upper West Side (Central) (MN0702),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"99,128","5,202",3.2,100.0%,,"8,417,074 ","5,202",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"45,988","3,031",4.0,46.4%,1.8%,"4,042,038 ","3,068",1.6,1.8
Female,"4,428,176",474,0.0,52.0%,0.1%,"53,140","3,192",3.7,53.6%,1.6%,"4,375,036 ","3,227",-1.6,1.6
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"5,716","1,234",13.1,5.8%,1.2%,"492,517 ","1,246",0.1,1.2
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"3,646",789,13.1,3.7%,0.8%,"458,549 ","4,857",1.7 ,0.8
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"4,429","1,145",15.7,4.5%,1.1%,"495,608 ","4,955",1.4 ,1.1
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"2,935",669,13.8,3.0%,0.7%,"455,444 ","1,126",2.4 ,0.7
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"2,782",615,13.4,2.8%,0.6%,"503,923 ","1,057",3.1 ,0.6
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"7,195","1,014",8.6,7.3%,0.9%,"702,406 ","1,081",1.0 ,0.9
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"9,545","1,690",10.8,9.6%,1.6%,"725,761 ","1,706",-1.0,1.6
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"7,848","1,182",9.2,7.9%,1.1%,"614,834 ","5,693",-0.6,1.1
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"5,576",942,10.3,5.6%,0.9%,"553,442 ","5,650",1.0 ,0.9
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"6,230","1,047",10.2,6.3%,1.0%,"513,254 ","1,089",-0.2,1.0
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"7,452","1,093",8.9,7.5%,1.0%,"525,382 ","1,151",-1.2 ,1.0
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"6,453",951,9.0,6.5%,0.9%,"532,966 ","5,083",-0.2,0.9
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"6,709",946,8.6,6.8%,0.9%,"499,805 ","5,097",-0.9,0.9
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"5,703",752,8.0,5.8%,0.7%,"427,663 ","5,787",-0.7,0.7
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"6,039",848,8.5,6.1%,0.8%,"347,428 ","4,413",-1.9 ,0.8
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"4,501",731,9.9,4.5%,0.7%,"233,519 ","3,159",-1.7 ,0.7
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"2,647",530,12.2,2.7%,0.5%,"165,636 ","3,197",-0.7 ,0.5
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,"3,722",860,14.1,3.8%,0.8%,"168,937 ","3,356",-1.8 ,0.8
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"16,074","2,062",7.8,16.2%,1.9%,"1,724,123 ","2,067",4.2 ,1.9
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"22,612","1,488",4.0,22.8%,0.9%,"1,343,183 ","1,514",-6.8 ,0.9
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,44.9,0.9,1.2,,,-6.9 ,0.9,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"16,074","2,062",7.8,100.0%,,"1,724,123 ","2,067",0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"8,555","1,676",11.9,53.2%,7.9%,"880,981 ","1,709",-2.1,7.9
Female,"850,661",368,0.0,48.9%,0.0%,"7,519","1,152",9.3,46.8%,3.9%,"843,142 ","1,209",2.1,3.9
,,,,,,,,,,,
