New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Upper West Side-Lincoln Square (MN0701),Upper West Side-Lincoln Square (MN0701),Upper West Side-Lincoln Square (MN0701),Upper West Side-Lincoln Square (MN0701),Upper West Side-Lincoln Square (MN0701),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"68,212","3,602",3.2,100.0%,,"8,447,990 ","3,602",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"32,338","2,299",4.3,47.4%,2.3%,"4,055,688 ","2,347",0.6,2.3
Female,"4,428,176",474,0.0,52.0%,0.1%,"35,874","2,164",3.7,52.6%,1.5%,"4,392,302 ","2,215",-0.6,1.5
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"3,754",931,15.1,5.5%,1.3%,"494,479 ",947,0.4,1.3
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"2,785",591,12.9,4.1%,0.8%,"459,410 ","4,828",1.3 ,0.8
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"3,083",758,14.9,4.5%,1.1%,"496,954 ","4,880",1.4 ,1.1
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"2,867",520,11.0,4.2%,0.7%,"455,512 ","1,045",1.2 ,0.7
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"2,139",443,12.6,3.1%,0.6%,"504,566 ",967,2.8 ,0.6
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"4,331",696,9.8,6.3%,1.0%,"705,270 ",791,2.0 ,1.0
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"5,353",874,9.9,7.8%,1.2%,"729,953 ",905,0.8,1.2
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"6,058","1,089",10.9,8.9%,1.5%,"616,624 ","5,674",-1.6 ,1.5
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"5,746",937,9.9,8.4%,1.3%,"553,272 ","5,649",-1.8 ,1.3
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"4,383",708,9.8,6.4%,1.0%,"515,101 ",769,-0.3,1.0
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"4,475",706,9.6,6.6%,1.0%,"528,359 ",793,-0.3,1.0
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"5,681","1,230",13.2,8.3%,1.7%,"533,738 ","5,142",-2.0 ,1.7
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"4,189",736,10.7,6.1%,1.0%,"502,325 ","5,062",-0.2,1.0
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"3,930",939,14.5,5.8%,1.3%,"429,436 ","5,814",-0.7,1.3
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"2,974",570,11.7,4.4%,0.8%,"350,493 ","4,368",-0.2,0.8
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"2,956",618,12.7,4.3%,0.9%,"235,064 ","3,135",-1.5 ,0.9
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"1,892",471,15.1,2.8%,0.7%,"166,391 ","3,188",-0.8 ,0.7
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,"1,616",414,15.6,2.4%,0.6%,"171,043 ","3,270",-0.4,0.6
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"10,806","1,510",8.5,15.8%,2.0%,"1,729,391 ","1,516",4.6 ,2.0
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"13,368","1,548",7.0,19.6%,2.0%,"1,352,427 ","1,573",-3.6 ,2.0
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,43.2,0.7,1.1,,,-5.2 ,0.7,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"10,806","1,510",8.5,100.0%,,"1,729,391 ","1,516",0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"5,833","1,273",13.3,54.0%,9.1%,"883,703 ","1,317",-2.9,9.1
