New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Upper West Side-Manhattan Valley (MN0703),Upper West Side-Manhattan Valley (MN0703),Upper West Side-Manhattan Valley (MN0703),Upper West Side-Manhattan Valley (MN0703),Upper West Side-Manhattan Valley (MN0703),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"51,421","3,615",4.3,100.0%,,"8,464,781 ","3,615",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"23,610","1,792",4.6,45.9%,1.3%,"4,064,416 ","1,854",2.1 ,1.3
Female,"4,428,176",474,0.0,52.0%,0.1%,"27,811","2,655",5.8,54.1%,3.5%,"4,400,365 ","2,697",-2.1,3.5
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"1,913",539,17.1,3.7%,1.0%,"496,320 ",566,2.2 ,1.0
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"2,108",592,17.1,4.1%,1.1%,"460,087 ","4,828",1.3 ,1.1
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"1,589",448,17.1,3.1%,0.8%,"498,448 ","4,842",2.8 ,0.8
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"2,012",768,23.2,3.9%,1.5%,"456,367 ","1,188",1.5,1.5
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"3,469",954,16.7,6.7%,1.8%,"503,236 ","1,284",-0.8,1.8
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"5,940","1,050",10.7,11.6%,1.9%,"703,661 ","1,115",-3.3 ,1.9
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"4,573",726,9.7,8.9%,1.3%,"730,733 ",762,-0.3,1.3
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"3,804","1,002",16.0,7.4%,1.9%,"618,878 ","5,658",-0.1,1.9
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"2,987",700,14.2,5.8%,1.3%,"556,031 ","5,615",0.8,1.3
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"2,619",653,15.2,5.1%,1.2%,"516,865 ",719,1.0,1.2
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"2,795",590,12.8,5.4%,1.1%,"530,039 ",692,0.9,1.1
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"2,872",729,15.4,5.6%,1.4%,"536,547 ","5,046",0.7,1.4
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"3,422",706,12.5,6.7%,1.3%,"503,092 ","5,058",-0.8,1.3
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"2,878",648,13.7,5.6%,1.2%,"430,488 ","5,774",-0.5,1.2
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"3,160",554,10.7,6.1%,1.0%,"350,307 ","4,366",-1.9 ,1.0
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"2,403",538,13.6,4.7%,1.0%,"235,617 ","3,120",-1.9 ,1.0
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"1,212",393,19.7,2.4%,0.7%,"167,071 ","3,177",-0.4,0.7
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,"1,665",529,19.3,3.2%,1.0%,"170,994 ","3,287",-1.2 ,1.0
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"7,024","1,201",10.4,13.7%,2.1%,"1,733,173 ","1,209",6.7 ,2.1
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"11,318","1,137",6.1,22.0%,1.6%,"1,354,477 ","1,171",-6.0 ,1.6
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,40.5,1.2,1.8,,,-2.5 ,1.2,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"7,024","1,201",10.4,100.0%,,"1,733,173 ","1,209",0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"2,803",691,15.0,39.9%,7.1%,"886,733 ",768,11.2 ,7.1
Female,"850,661",368,0.0,48.9%,0.0%,"4,221",943,13.6,60.1%,8.6%,"846,440 ","1,012",-11.2 ,8.6
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"11,318","1,137",6.1,100.0%,,"1,354,477 ","1,171",0.0,0.0
Male,"574,914",195,0.0,42.1%,0.1%,"4,406",727,10.0,38.9%,5.1%,"570,508 ",753,3.2,5.1
Female,"790,881",213,0.0,57.9%,0.1%,"6,912",746,6.6,61.1%,2.4%,"783,969 ",776,-3.2 ,2.4


Hispanic Subgroup
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Upper West Side-Manhattan Valley (MN0703),Upper West Side-Manhattan Valley (MN0703),Upper West Side-Manhattan Valley (MN0703),Upper West Side-Manhattan Valley (MN0703),Upper West Side-Manhattan Valley (MN0703),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Hispanic/Latino,"2,420,539",0,0.0,100.0%,,"13,926","2,220",9.7,100.0%,,"2,406,613 ","2,220",0.0,0.0
Mexican,"329,268","9,174",1.7,13.6%,0.4%,"1,226",933,46.3,8.8%,6.6%,"328,042 ","9,221",4.8,6.6
Puerto Rican,"605,226","10,440",1.0,25.0%,0.4%,"3,611",932,15.7,25.9%,5.3%,"601,615 ","10,482",-0.9,5.3
Cuban,"41,793","2,594",3.8,1.7%,0.1%,418,363,52.8,3.0%,2.6%,"41,375 ","2,619",-1.3,2.6
Dominican (Dominican Republic),"712,246","10,540",0.9,29.4%,0.4%,"4,469","1,288",17.5,32.1%,7.7%,"707,777 ","10,618",-2.7,7.7
Central American,"181,910","7,173",2.4,7.5%,0.3%,"1,070",857,48.7,7.7%,6.0%,"180,840 ","7,224",-0.2,6.0
Costa Rican,"6,632","1,044",9.6,0.3%,0.0%,32,53,100.7,0.2%,0.4%,"6,600 ","1,045",0.1,0.4
Guatemalan,"44,532","3,442",4.7,1.8%,0.1%,382,491,78.2,2.7%,3.5%,"44,150 ","3,477",-0.9,3.5
Honduran,"48,367","3,524",4.4,2.0%,0.1%,543,666,74.6,3.9%,4.7%,"47,824 ","3,586",-1.9,4.7
Nicaraguan,"10,760","1,824",10.3,0.4%,0.1%,0,,,,,,,0.4,0.1
Panamanian,"22,070","2,263",6.2,0.9%,0.1%,113,169,90.6,0.8%,1.2%,"21,957 ","2,269",0.1,1.2
Salvadoran,"48,869","4,311",5.4,2.0%,0.2%,0,,,,,,,2.0,0.2
Other Central American,680,311,27.8,0.0%,0.0%,0,,,,,,,0.0,0.0
South American,"406,147","9,576",1.4,16.8%,0.4%,"1,708",717,25.5,12.3%,4.8%,"404,439 ","9,603",4.5,4.8
Argentinean,"16,425","1,550",5.7,0.7%,0.1%,153,202,80.4,1.1%,1.4%,"16,272 ","1,563",-0.4,1.4
Bolivian,"4,058",824,12.3,0.2%,0.0%,0,,,,,,,0.2,0.0
Chilean,"8,691","1,139",8.0,0.4%,0.0%,130,156,73.0,0.9%,1.1%,"8,561 ","1,150",-0.5,1.1
Colombian,"111,194","4,185",2.3,4.6%,0.2%,232,154,40.4,1.7%,1.1%,"110,962 ","4,188",2.9 ,1.1
Ecuadorian,"197,415","7,979",2.5,8.2%,0.3%,772,553,43.5,5.5%,3.9%,"196,643 ","7,998",2.7,3.9
Paraguayan,"3,527",937,16.1,0.1%,0.0%,0,,,,,,,0.1,0.0
Peruvian,"40,438","2,853",4.3,1.7%,0.1%,230,213,56.3,1.7%,1.5%,"40,208 ","2,861",0.0,1.5
Uruguayan,"3,088",650,12.8,0.1%,0.0%,44,71,98.1,0.3%,0.5%,"3,044 ",654,-0.2,0.5
Venezuelan,"18,499","2,024",6.7,0.8%,0.1%,147,142,58.8,1.1%,1.0%,"18,352 ","2,029",-0.3,1.0
Other South American,"2,812",713,15.4,0.1%,0.0%,0,,,,,,,0.1,0.0
Other Hispanic/Latino,"143,949","5,659",2.4,5.9%,0.2%,"1,424",647,27.6,10.2%,4.3%,"142,525 ","5,696",-4.3,4.3
Spaniard,"29,204","2,613",5.4,1.2%,0.1%,253,208,49.9,1.8%,1.5%,"28,951 ","2,621",-0.6,1.5
Spanish,"15,999","1,957",7.4,0.7%,0.1%,187,166,54.0,1.3%,1.2%,"15,812 ","1,964",-0.6,1.2
Spanish American,642,265,25.1,0.0%,0.0%,53,85,97.5,0.4%,0.6%,589 ,278,-0.4,0.6
All other Hispanic/Latino,"98,104","4,331",2.7,4.1%,0.2%,931,575,37.6,6.7%,4.0%,"97,173 ","4,369",-2.6,4.0


Household Type
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Upper West Side-Manhattan Valley (MN0703),Upper West Side-Manhattan Valley (MN0703),Upper West Side-Manhattan Valley (MN0703),Upper West Side-Manhattan Valley (MN0703),Upper West Side-Manhattan Valley (MN0703),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total households,"3,313,316","5,956",0.1,100.0%,,"22,959","1,052",2.8,100.0%,,"3,290,357 ","6,048",0.0,0.0
Family households (families),"1,928,865","9,723",0.3,58.2%,0.3%,"11,254",911,4.9,49.0%,3.3%,"1,917,611 ","9,766",9.2 ,3.3
With own children under 18 years,"764,350","7,647",0.6,23.1%,0.2%,"3,851",653,10.3,16.8%,2.7%,"760,499 ","7,675",6.3 ,2.7
Married-couple family,"1,181,568","8,786",0.5,35.7%,0.3%,"7,164",768,6.5,31.2%,3.0%,"1,174,404 ","8,820",4.5 ,3.0
With own children under 18 years,"475,842","6,019",0.8,14.4%,0.2%,"2,531",498,12.0,11.0%,2.1%,"473,311 ","6,040",3.4 ,2.1
