New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Washington Heights (North) (MN1202),Washington Heights (North) (MN1202),Washington Heights (North) (MN1202),Washington Heights (North) (MN1202),Washington Heights (North) (MN1202),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"75,554","3,747",3.0,100.0%,,"8,440,648 ","3,747",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"37,260","2,403",3.9,49.3%,2.0%,"4,050,766 ","2,449",-1.3,2.0
Female,"4,428,176",474,0.0,52.0%,0.1%,"38,294","2,148",3.4,50.7%,1.3%,"4,389,882 ","2,200",1.3,1.3
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"3,414",664,11.8,4.5%,0.8%,"494,819 ",686,1.4 ,0.8
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"3,524",716,12.4,4.7%,0.9%,"458,671 ","4,845",0.7,0.9
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"3,341",605,11.0,4.4%,0.8%,"496,696 ","4,859",1.5 ,0.8
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"3,061",568,11.3,4.1%,0.7%,"455,318 ","1,069",1.3 ,0.7
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"4,548",679,9.1,6.0%,0.8%,"502,157 ","1,096",-0.1,0.8
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"6,954","1,036",9.1,9.2%,1.3%,"702,647 ","1,102",-0.9,1.3
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"6,158",790,7.8,8.2%,1.0%,"729,148 ",824,0.4,1.0
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"6,737","1,078",9.7,8.9%,1.4%,"615,945 ","5,672",-1.6 ,1.4
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"5,664",791,8.5,7.5%,1.0%,"553,354 ","5,627",-0.9,1.0
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"5,975","1,038",10.6,7.9%,1.3%,"513,509 ","1,081",-1.8 ,1.3
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"4,478",708,9.6,5.9%,0.9%,"528,356 ",795,0.4,0.9
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"4,513",665,9.0,6.0%,0.8%,"534,906 ","5,037",0.3,0.8
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"5,012",763,9.3,6.6%,1.0%,"501,502 ","5,066",-0.7,1.0
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"4,588",793,10.5,6.1%,1.0%,"428,778 ","5,793",-1.0,1.0
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"2,939",477,9.9,3.9%,0.6%,"350,528 ","4,357",0.3,0.6
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"2,077",401,11.7,2.7%,0.5%,"235,943 ","3,099",0.1,0.5
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"1,404",468,20.2,1.9%,0.6%,"166,879 ","3,188",0.1,0.6
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,"1,167",266,13.9,1.5%,0.3%,"171,492 ","3,255",0.5 ,0.3
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"12,256","1,353",6.7,16.2%,1.6%,"1,727,941 ","1,360",4.2 ,1.6
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"12,175","1,303",6.5,16.1%,1.5%,"1,353,620 ","1,333",-0.1,1.5
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,40.0,0.7,1.1,,,-2.0 ,0.7,,
,,,,,,,,,,,
