New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Washington Heights (South) (MN1201),Washington Heights (South) (MN1201),Washington Heights (South) (MN1201),Washington Heights (South) (MN1201),Washington Heights (South) (MN1201),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"74,814","3,729",3.0,100.0%,,"8,441,388 ","3,729",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"35,868","2,341",4.0,47.9%,2.0%,"4,052,158 ","2,389",0.1,2.0
Female,"4,428,176",474,0.0,52.0%,0.1%,"38,946","2,344",3.7,52.1%,1.8%,"4,389,230 ","2,391",-0.1,1.8
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,"2,865",654,13.9,3.8%,0.9%,"495,368 ",676,2.1 ,0.9
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,"2,640",558,12.8,3.5%,0.7%,"459,555 ","4,824",1.9 ,0.7
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,"3,193",654,12.4,4.3%,0.8%,"496,844 ","4,865",1.6 ,0.8
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,"3,310",691,12.7,4.4%,0.9%,"455,069 ","1,139",1.0 ,0.9
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"6,472","1,000",9.4,8.7%,1.3%,"500,233 ","1,319",-2.8 ,1.3
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"8,125","1,098",8.2,10.9%,1.4%,"701,476 ","1,161",-2.6 ,1.4
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"6,700",854,7.7,9.0%,1.1%,"728,606 ",885,-0.4,1.1
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"5,975",907,9.2,8.0%,1.1%,"616,707 ","5,642",-0.7,1.1
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"5,096",946,11.3,6.8%,1.2%,"553,922 ","5,651",-0.2,1.2
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"4,837",945,11.9,6.5%,1.2%,"514,647 ",992,-0.4,1.2
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"4,488",774,10.5,6.0%,1.0%,"528,346 ",854,0.3,1.0
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"3,659",678,11.3,4.9%,0.9%,"535,760 ","5,039",1.4 ,0.9
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"4,190",751,10.9,5.6%,1.0%,"502,324 ","5,064",0.3,1.0
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"4,148",780,11.4,5.5%,1.0%,"429,218 ","5,791",-0.4,1.0
70 to 74 years,"353,467","4,331",0.7,4.2%,0.1%,"3,357",663,12.0,4.5%,0.9%,"350,110 ","4,381",-0.3,0.9
75 to 79 years,"238,020","3,073",0.8,2.8%,0.0%,"1,988",419,12.8,2.7%,0.5%,"236,032 ","3,101",0.1,0.5
80 to 84 years,"168,283","3,153",1.1,2.0%,0.0%,"1,854",405,13.3,2.5%,0.5%,"166,429 ","3,179",-0.5,0.5
85 years and over,"172,659","3,244",1.1,2.0%,0.1%,"1,917",466,14.8,2.6%,0.6%,"170,742 ","3,277",-0.6,0.6
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,20.4%,0.1%,"10,713","1,187",6.7,14.3%,1.4%,"1,729,484 ","1,195",6.1 ,1.4
65 years and over,"1,365,795",280,0.0,16.0%,0.1%,"13,264","1,102",5.1,17.7%,1.2%,"1,352,531 ","1,137",-1.7 ,1.2
,,,,,,,,,,,
Median age (years) ,38.0,0.1,0.2,,,38.4,0.8,1.2,,,-0.4,0.8,,
,,,,,,,,,,,
Under 18 years,"1,740,197",140,0.0,100.0%,,"10,713","1,187",6.7,100.0%,,"1,729,484 ","1,195",0.0,0.0
Male,"889,536",336,0.0,51.1%,0.0%,"5,417",850,9.5,50.6%,5.6%,"884,119 ",914,0.5,5.6
Female,"850,661",368,0.0,48.9%,0.0%,"5,296",844,9.7,49.4%,5.7%,"845,365 ",921,-0.5,5.7
,,,,,,,,,,,
65 years and over,"1,365,795",280,0.0,100.0%,,"13,264","1,102",5.1,100.0%,,"1,352,531 ","1,137",0.0,0.0
