New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,West Village (MN0203),West Village (MN0203),West Village (MN0203),West Village (MN0203),West Village (MN0203),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total population,"8,516,202",0,0.0,100.0%,,"32,518","1,891",3.5,100.0%,,"8,483,684 ","1,891",0.0,0.0
Male,"4,088,026",474,0.0,48.0%,0.1%,"16,036","1,443",5.5,49.3%,3.4%,"4,071,990 ","1,519",-1.3,3.4
Female,"4,428,176",474,0.0,52.0%,0.1%,"16,482","1,147",4.2,50.7%,1.9%,"4,411,694 ","1,241",1.3,1.9
,,,,,,,,,,,
Under 5 years,"498,233",172,0.0,5.9%,0.1%,900,412,27.8,2.8%,1.3%,"497,333 ",446,3.1 ,1.3
5 to 9 years,"462,195","4,792",0.6,5.4%,0.1%,698,211,18.4,2.1%,0.6%,"461,497 ","4,797",3.3 ,0.6
10 to 14 years,"500,037","4,821",0.6,5.9%,0.1%,785,323,25.0,2.4%,1.0%,"499,252 ","4,832",3.5 ,1.0
15 to 19 years,"458,379",906,0.1,5.4%,0.1%,609,203,20.2,1.9%,0.6%,"457,770 ",928,3.5 ,0.6
20 to 24 years,"506,705",860,0.1,5.9%,0.1%,"1,669",406,14.8,5.1%,1.2%,"505,036 ",951,0.8,1.2
25 to 29 years,"709,601",376,0.0,8.3%,0.0%,"5,112",923,11.0,15.7%,2.7%,"704,489 ",997,-7.4 ,2.7
30 to 34 years,"735,306",233,0.0,8.6%,0.0%,"3,930",564,8.7,12.1%,1.6%,"731,376 ",610,-3.5 ,1.6
35 to 39 years,"622,682","5,569",0.5,7.3%,0.1%,"2,731",536,11.9,8.4%,1.6%,"619,951 ","5,595",-1.1,1.6
40 to 44 years,"559,018","5,571",0.6,6.6%,0.1%,"1,937",419,13.1,6.0%,1.2%,"557,081 ","5,587",0.6,1.2
45 to 49 years,"519,484",301,0.0,6.1%,0.0%,"2,659",674,15.4,8.2%,2.0%,"516,825 ",738,-2.1 ,2.0
50 to 54 years,"532,834",362,0.0,6.3%,0.0%,"1,849",429,14.1,5.7%,1.3%,"530,985 ",561,0.6,1.3
55 to 59 years,"539,419","4,993",0.6,6.3%,0.1%,"2,205",623,17.2,6.8%,1.9%,"537,214 ","5,032",-0.5,1.9
60 to 64 years,"506,514","5,008",0.6,5.9%,0.1%,"1,908",431,13.7,5.9%,1.3%,"504,606 ","5,027",0.0,1.3
65 to 69 years,"433,366","5,738",0.8,5.1%,0.1%,"2,029",418,12.5,6.2%,1.2%,"431,337 ","5,753",-1.1,1.2
