ID_ZONA,NOMBRE_ZONA,AREA_KM2,POBLACION_TOTAL,EDAD_MEDIANA,INGRESO_MEDIANO_HOGAR,TASA_EMPLEO,TAMANO_HOGAR_PROMEDIO,POBLACION_HISPANA,TASA_OCUPACION,SEG_DELITOS_OTROS,SEG_DELITOS_PROPIEDAD,SEG_DELITOS_TRANSPORTE,MOV_DIA_SEMANA_PROMEDIO,MOV_FIN_DE_SEMANA_PROMEDIO,MOV_CANTIDAD_ESTACIONES,RES_COM_DIRECTA,RES_COM_INDIRECTA,LUG_COMERCIO_TURISMO,LUG_OFICINAS_ESCUELAS,LUG_RESIDENCIAL_EXCLUSIVO,ALQ_PRECIO_PIE2_ANUAL
MN0101,Financial District-Battery Park City,19.2268,48608.0,34.3,198961.0,79.57,1.99,1639.0,83.1,73.0,78.0,28.0,78390.0,54974.0,10.0,24.0,305.0,122,37,6,91.91
MN0102,Tribeca-Civic Center,13.5782,23257.0,36.8,185902.0,68.92,2.2,873.0,81.41,116.0,77.0,13.0,58553.0,36589.0,6.0,11.0,150.0,28,42,1,122.72
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,11.9933,,,,,,,,1.0,0.0,3.0,,,,,,30,3,0,61.0
MN0201,SoHo-Little Italy-Hudson Square,12.9168,22167.0,39.3,132900.0,70.97,1.78,975.0,82.01,88.0,116.0,6.0,51431.0,39477.0,6.0,12.0,275.0,40,15,0,190.54
MN0202,Greenwich Village,10.6005,31517.0,35.7,174062.0,64.44,1.74,1003.0,78.61,93.0,80.0,16.0,30640.0,23725.0,4.0,15.0,242.0,38,94,1,99.03
MN0203,West Village,14.4169,32518.0,39.7,168629.0,71.17,1.68,2364.0,80.94,74.0,101.0,17.0,19220.0,16016.0,3.0,18.0,285.0,33,15,0,220.81
MN0301,Chinatown-Two Bridges,11.5416,,,,,,,,141.0,42.0,3.0,8089.0,7408.0,1.0,6.0,195.0,38,20,35,61.8
MN0302,Lower East Side,16.4732,46107.0,42.2,58841.0,53.27,2.05,12016.0,90.54,211.0,72.0,9.0,30606.0,25371.0,3.0,14.0,218.0,51,24,79,107.9
MN0303,East Village,18.9848,68412.0,33.9,76136.0,60.06,1.83,11928.0,91.01,146.0,134.0,4.0,21168.0,18699.0,2.0,32.0,427.0,83,42,74,127.58
MN0401,Chelsea-Hudson Yards,29.6718,61878.0,39.2,126272.0,70.06,1.67,6004.0,83.9,188.0,224.0,17.0,65068.0,48740.0,6.0,24.0,354.0,69,30,26,63.64
MN0402,Hell's Kitchen,18.3823,55221.0,39.1,105839.0,69.45,1.61,6556.0,87.46,282.0,136.0,44.0,12340.0,10763.0,2.0,36.0,320.0,49,31,9,126.14
MN0501,Midtown South-Flatiron-Union Square,14.879,29670.0,35.2,182280.0,70.16,1.65,1493.0,82.85,191.0,255.0,36.0,123072.0,83012.0,9.0,26.0,495.0,54,37,0,68.5
MN0502,Midtown-Times Square,24.5525,21949.0,42.8,148446.0,65.59,1.61,1069.0,67.98,317.0,430.0,41.0,143758.0,116060.0,10.0,53.0,887.0,229,52,7,199.67
MN0601,Stuyvesant Town-Peter Cooper Village,5.5756,21963.0,39.6,160855.0,65.61,2.05,1097.0,92.47,25.0,18.0,1.0,,,,1.0,4.0,4,0,57,140.0
MN0602,Gramercy,7.526,26523.0,35.2,153720.0,68.32,1.71,849.0,78.79,55.0,56.0,4.0,15133.0,10721.0,2.0,13.0,148.0,22,37,0,138.33
MN0603,Murray Hill-Kips Bay,15.7712,54905.0,34.3,141463.0,71.82,1.7,2830.0,82.93,120.0,96.0,16.0,,,,9.0,174.0,54,106,18,190.0
