ID_ZONA,NOMBRE_ZONA,AREA_KM2,POBLACION_KM2,PORCENTAJE_HISPANOS,EDAD_MEDIANA,INGRESO_MEDIANO_HOGAR,TASA_OCUPACION,TAMANO_HOGAR_PROMEDIO,MOV_CANTIDAD_ESTACIONES,ALQ_PRECIO_PIE2_ANUAL,DELITO_PROPIEDAD_KM2,DELITO_TRANSPORTE_KM2,DELITO_OTROS_KM2,COMPETENCIA_DIRECTA_KM2,COMPETENCIA_INDIRECTA_KM2,LUGARES_COMERCIO_KM2,LUGARES_OFICINAS_KM2,LUGARES_RESIDENCIAL_KM2,MOVILIDAD_PROMEDIO_DIARIA
MN0101,Financial District-Battery Park City,19.2268,-0.541,-0.798,-1.077,1.613,-0.24,-0.092,2.458,-0.737,-0.61,1.171,-1.133,0.261,0.458,2.164,-0.381,-0.6,1.296
MN0102,Tribeca-Civic Center,13.5782,-1.419,-0.776,-0.466,1.35,-0.493,0.583,0.845,-0.152,-0.134,0.391,-0.138,-0.44,-0.06,-0.478,0.145,-0.71,0.659
MN0201,SoHo-Little Italy-Hudson Square,12.9168,-1.415,-0.738,0.145,0.285,-0.403,-0.768,0.845,1.134,0.844,-0.39,-0.501,-0.249,1.042,0.163,-0.722,-0.741,0.519
MN0202,Greenwich Village,10.6005,-0.062,-0.809,-0.735,1.113,-0.911,-0.896,0.039,-0.602,0.421,1.249,-0.09,0.531,1.208,0.459,2.741,-0.701,-0.116
MN0203,West Village,14.4169,-0.834,-0.568,0.243,1.003,-0.563,-1.089,-0.364,1.708,0.262,0.734,-0.854,0.261,0.879,-0.336,-0.776,-0.741,-0.456
MN0302,Lower East Side,16.4732,-0.249,0.539,0.854,-1.203,0.872,0.101,-0.364,-0.433,-0.518,-0.249,0.759,-0.377,0.175,0.163,-0.587,1.441,-0.102
MN0303,East Village,18.9848,0.617,0.031,-1.175,-0.855,0.942,-0.607,-0.767,-0.06,0.277,-0.78,-0.316,0.961,1.171,0.945,-0.25,1.032,-0.385
MN0401,Chelsea-Hudson Yards,29.6718,-1.018,-0.425,0.121,0.152,-0.121,-1.121,0.845,-1.273,0.421,-0.218,-0.6,-0.44,0.035,-0.311,-0.789,-0.341,0.925
MN0402,Hell's Kitchen,18.3823,-0.028,-0.297,0.096,-0.258,0.412,-1.314,-0.767,-0.088,0.377,2.623,1.29,1.392,0.625,-0.102,-0.484,-0.519,-0.667
MN0501,Midtown South-Flatiron-Union Square,14.879,-1.116,-0.7,-0.857,1.278,-0.278,-1.186,2.055,-1.18,3.254,2.67,0.765,1.057,2.331,0.489,-0.125,-0.741,2.606
MN0502,Midtown-Times Square,24.5525,-2.301,-0.71,1.001,0.598,-2.501,-1.314,2.458,1.307,3.363,1.499,0.78,1.71,2.639,4.0,-0.291,-0.61,3.4
MN0601,Stuyvesant Town-Peter Cooper Village,5.5756,0.979,-0.703,0.218,0.847,1.161,0.101,-1.574,0.175,-0.855,-0.827,-0.99,-1.444,-1.171,-1.303,-1.243,3.906,-1.057
MN0602,Gramercy,7.526,0.532,-0.808,-0.857,0.704,-0.885,-0.993,-0.767,0.144,0.389,-0.28,-0.396,1.025,0.868,0.052,0.967,-0.741,-0.602
MN0603,Murray Hill-Kips Bay,15.7712,0.486,-0.693,-1.077,0.457,-0.266,-1.025,-1.574,1.123,-0.01,0.469,-0.333,-0.823,-0.062,0.36,1.775,-0.223,-1.057
MN0604,East Midtown-Turtle Bay,13.1381,0.177,-0.755,1.685,1.035,-1.744,-0.768,-0.767,1.692,-0.279,0.906,-1.211,0.324,1.332,0.785,3.1,-0.532,0.119
MN0701,Upper West Side-Lincoln Square,15.7974,1.387,-0.653,1.099,0.925,-0.689,-0.671,-0.364,-0.394,-0.181,-0.515,-0.841,-1.221,-0.506,0.828,0.095,0.063,0.41
MN0702,Upper West Side (Central),25.4107,0.938,-0.544,1.514,0.817,-0.554,0.036,-0.364,-0.55,-0.601,-0.733,-0.931,-0.791,-0.537,-0.533,-0.358,0.527,-0.001
MN0703,Upper West Side-Manhattan Valley,13.2005,0.932,0.117,0.438,-0.372,0.578,0.39,-0.364,0.649,0.226,-0.515,-0.404,-0.52,-0.605,-0.348,-0.699,0.359,-0.564
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,21.501,0.708,-0.777,-0.197,0.375,-1.088,-0.478,0.039,1.011,-0.876,-1.03,-1.209,-0.393,-0.378,-0.632,0.342,-0.573,-0.266
MN0802,Upper East Side-Carnegie Hill,20.0654,-0.362,-0.762,2.761,1.07,-2.134,-0.028,0.845,1.313,0.223,-0.483,-1.272,-1.412,-0.16,-0.521,0.302,-0.605,1.33
MN0803,Upper East Side-Yorkville,13.645,2.968,-0.644,0.854,0.578,0.126,-0.575,-1.171,0.744,-0.359,-0.874,-0.776,-0.217,-0.247,-0.89,-0.52,-0.51,-0.708
MN0901,Morningside Heights,15.9228,-0.694,-0.264,-2.593,-0.628,0.054,0.326,-0.364,-1.031,-1.271,-0.624,-0.877,-1.237,-0.857,-0.816,1.38,-0.228,-0.213
MN0902,Manhattanville-West Harlem,10.7348,-1.03,1.63,-1.028,-1.444,0.933,1.805,-0.767,-1.43,-0.985,-0.811,0.534,-0.695,-1.008,-0.601,0.262,-0.105,-0.793
MN0903,Hamilton Heights-Sugar Hill,15.9836,0.276,1.246,-0.173,-1.008,0.971,1.934,-0.364,-0.678,-0.719,-0.624,0.211,-0.233,-0.804,0.298,-0.991,-0.714,-0.555
MN1001,Harlem (South),14.4264,0.38,-0.204,-0.099,-0.898,0.455,0.744,0.442,-1.152,-0.131,1.062,1.374,-0.855,-0.861,-0.508,-0.152,-0.109,-0.345
MN1002,Harlem (North),23.7929,0.633,0.246,-0.148,-1.353,0.948,0.776,0.039,-0.394,-0.17,-0.78,2.331,-1.46,-1.018,-0.453,-0.583,1.323,-0.791
MN1101,East Harlem (South),16.6539,0.526,0.951,-0.222,-1.54,0.676,0.39,-0.364,2.084,-0.054,-0.452,2.205,0.563,-0.771,-0.675,-0.003,1.714,-0.459
MN1102,East Harlem (North),26.1193,-0.644,1.032,-0.515,-1.582,0.927,0.551,-0.767,-0.583,-0.202,-0.327,1.607,0.229,-0.931,-0.379,-0.502,0.827,-0.485
MN1201,Washington Heights (South),21.0277,0.568,2.307,-0.075,-1.241,1.149,1.966,0.039,-0.126,-0.515,-0.655,0.834,0.993,-0.896,-0.841,-0.497,-0.264,-0.411
MN1202,Washington Heights (North),24.7735,0.021,1.948,0.316,-0.808,1.386,1.644,0.845,-0.678,-0.701,-1.045,-0.142,0.707,-0.971,-0.256,-0.628,-0.741,-0.46
MN1203,Inwood,14.4369,-0.413,2.585,-0.05,-1.008,1.277,1.58,0.039,-1.545,-0.887,-0.561,0.324,2.793,-0.92,-0.724,-0.529,-0.141,-0.772
